[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7  LS=304.4  LW=243.4
[model] params total=71838  film=39052 (54.36%)
[train_family] model=10x25+family+joint-nodelta-s302 regimes=['N', 'L', 'S', 'W', 'LS', 'LW'] updates=2000
Ep 1	 reward -15.432	 ms 216.1	 loss 0.955768	 8.8s
Ep 2	 reward -15.432	 ms 216.1	 loss 0.578877	 8.2s
Ep 3	 reward -15.296	 ms 214.2	 loss 0.480070	 7.7s
Ep 4	 reward -15.550	 ms 217.7	 loss 0.830465	 7.9s
Ep 5	 reward -15.464	 ms 216.5	 loss 0.825727	 7.8s
Ep 6	 reward -15.232	 ms 213.2	 loss 0.776409	 8.0s
Ep 7	 reward -15.454	 ms 216.3	 loss 0.803295	 8.6s
Ep 8	 reward -15.436	 ms 216.1	 loss 0.781353	 8.3s
Ep 9	 reward -15.468	 ms 216.6	 loss 0.683210	 8.1s
Ep 10	 reward -15.282	 ms 213.9	 loss 0.475557	 7.9s
Ep 11	 reward -15.450	 ms 216.3	 loss 0.441760	 7.9s
Ep 12	 reward -15.400	 ms 215.6	 loss 0.359425	 7.9s
Ep 13	 reward -15.329	 ms 214.6	 loss 0.416458	 6.9s
Ep 14	 reward -15.339	 ms 214.8	 loss 0.369000	 7.1s
Ep 15	 reward -15.364	 ms 215.1	 loss 0.370936	 6.6s
Ep 16	 reward -15.221	 ms 213.1	 loss 0.515221	 6.8s
Ep 17	 reward -15.314	 ms 214.4	 loss 0.408814	 6.6s
Ep 18	 reward -15.229	 ms 213.2	 loss 0.488001	 6.4s
Ep 19	 reward -15.336	 ms 214.7	 loss 0.106825	 6.6s
Ep 20	 reward -15.332	 ms 214.7	 loss 0.279148	 6.8s
Ep 21	 reward -15.143	 ms 212.0	 loss 0.377424	 6.6s
Ep 22	 reward -15.296	 ms 214.2	 loss 0.389870	 6.9s
Ep 23	 reward -15.236	 ms 213.3	 loss 0.340621	 7.8s
