[train_family] forcing data_source=FAMILY
[train_family] shaping envelope: delta_mode=min (admissible, tight (the paper's))
[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7
[model] params total=71838  film=39052 (54.36%)
[train_family] model=10x25+family+joint-nlsw regimes=['N', 'L', 'S', 'W'] updates=2000
Ep 79	 reward -12.679	 ms 177.5	 loss 0.195463	 13.1s
Ep 80	 reward -12.621	 ms 176.7	 loss 0.060559	 12.8s
Ep 81	 reward -12.589	 ms 176.2	 loss 0.249867	 13.8s
Ep 82	 reward -12.518	 ms 175.2	 loss 0.005573	 13.7s
Ep 83	 reward -12.618	 ms 176.7	 loss 0.050400	 13.7s
Ep 84	 reward -12.600	 ms 176.4	 loss -0.119125	 14.2s
Ep 85	 reward -12.654	 ms 177.2	 loss -0.057520	 14.3s
Ep 86	 reward -12.504	 ms 175.1	 loss -0.029767	 13.7s
Ep 87	 reward -12.561	 ms 175.8	 loss -0.059706	 13.9s
Ep 88	 reward -12.636	 ms 176.9	 loss -0.041818	 12.0s
Ep 89	 reward -12.586	 ms 176.2	 loss -0.026966	 12.1s
Ep 90	 reward -12.479	 ms 174.7	 loss 0.057395	 9.6s
Ep 91	 reward -12.554	 ms 175.8	 loss -0.117252	 9.2s
Ep 92	 reward -12.475	 ms 174.7	 loss -0.004029	 8.2s
Ep 93	 reward -12.529	 ms 175.4	 loss -0.012387	 9.6s
Ep 94	 reward -12.596	 ms 176.3	 loss -0.006516	 9.5s
Ep 95	 reward -12.579	 ms 176.1	 loss 0.071431	 10.0s
Ep 96	 reward -12.571	 ms 176.0	 loss -0.003582	 9.8s
Ep 97	 reward -12.529	 ms 175.4	 loss 0.001007	 9.8s
Ep 98	 reward -12.611	 ms 176.6	 loss -0.032192	 9.6s
Ep 99	 reward -12.600	 ms 176.4	 loss -0.016097	 9.5s
[vali @100] rel=0.8537 (best 0.8537)  N=130.6  L=210.2  S=192.8  W=148.4
Ep 100	 reward -12.500	 ms 175.0	 loss -0.011569	 36.5s
