[train_family] shaping envelope: delta_mode=min (admissible, tight (the paper's))
[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7  LS=304.4  LW=243.4  SW=260.9  LSW=331.9
[model] params total=71838  film=39052 (54.36%)
[train_family] model=10x25+family+joint-all8e-s301 regimes=['N', 'L', 'S', 'W', 'LS', 'LW', 'SW', 'LSW'] updates=2667
Ep 76	 reward -15.907	 ms 222.7	 loss 0.313245	 4.3s
Ep 77	 reward -16.043	 ms 224.6	 loss 0.195273	 4.2s
Ep 78	 reward -15.921	 ms 222.9	 loss 0.133961	 4.2s
Ep 79	 reward -15.868	 ms 222.2	 loss 0.281323	 4.3s
Ep 80	 reward -15.836	 ms 221.7	 loss 0.326540	 4.1s
Ep 81	 reward -15.939	 ms 223.2	 loss 0.139690	 4.3s
Ep 82	 reward -15.911	 ms 222.8	 loss 0.344415	 4.2s
Ep 83	 reward -15.968	 ms 223.6	 loss 0.120299	 4.2s
Ep 84	 reward -16.189	 ms 226.7	 loss 0.083635	 4.2s
Ep 85	 reward -15.893	 ms 222.5	 loss 0.146428	 4.2s
Ep 86	 reward -15.821	 ms 221.5	 loss 0.054990	 4.2s
Ep 87	 reward -15.889	 ms 222.4	 loss 0.215215	 4.1s
Ep 88	 reward -15.921	 ms 222.9	 loss 0.335701	 4.2s
Ep 89	 reward -15.964	 ms 223.5	 loss 0.368210	 4.2s
Ep 90	 reward -15.989	 ms 223.8	 loss 0.312668	 4.2s
Ep 91	 reward -15.861	 ms 222.1	 loss 0.290570	 4.2s
Ep 92	 reward -16.011	 ms 224.2	 loss 0.132507	 4.2s
Ep 93	 reward -15.979	 ms 223.7	 loss 0.060219	 4.2s
Ep 94	 reward -15.832	 ms 221.7	 loss 0.094532	 4.2s
Ep 95	 reward -15.971	 ms 223.6	 loss 0.170580	 4.2s
Ep 96	 reward -16.061	 ms 224.8	 loss 0.177182	 4.2s
Ep 97	 reward -15.975	 ms 223.7	 loss 0.191628	 4.2s
Ep 98	 reward -16.032	 ms 224.4	 loss 0.415996	 4.2s
Ep 99	 reward -15.982	 ms 223.8	 loss 0.164692	 4.2s
[vali @100] rel=0.8998 (best 0.8998)  N=145.3  L=216.1  S=198.5  W=161.4  LS=271.5  LW=228.3  SW=221.3  LSW=294.6
Ep 100	 reward -15.875	 ms 222.2	 loss 0.179635	 19.9s
Ep 101	 reward -15.861	 ms 222.1	 loss 0.482428	 4.2s
Ep 102	 reward -15.907	 ms 222.7	 loss 0.306918	 4.2s
Ep 103	 reward -16.071	 ms 225.0	 loss 0.399962	 4.2s
Ep 104	 reward -16.061	 ms 224.8	 loss 0.154130	 4.2s
Ep 105	 reward -15.979	 ms 223.7	 loss 0.095519	 4.2s
Ep 106	 reward -15.943	 ms 223.2	 loss 0.169275	 4.1s
Ep 107	 reward -15.979	 ms 223.7	 loss 0.344396	 4.2s
Ep 108	 reward -15.979	 ms 223.7	 loss 0.065909	 4.2s
Ep 109	 reward -15.996	 ms 223.9	 loss 0.184645	 4.2s
Ep 110	 reward -16.132	 ms 225.8	 loss 0.456731	 4.2s
Ep 111	 reward -15.921	 ms 222.9	 loss 0.166948	 4.2s
Ep 112	 reward -15.989	 ms 223.8	 loss 0.138645	 4.2s
Ep 113	 reward -15.829	 ms 221.6	 loss 0.266387	 4.2s
Ep 114	 reward -15.946	 ms 223.2	 loss 0.212778	 4.1s
Ep 115	 reward -15.900	 ms 222.6	 loss 0.096523	 4.1s
Ep 116	 reward -15.825	 ms 221.6	 loss 0.062167	 4.2s
Ep 117	 reward -15.986	 ms 223.8	 loss 0.019356	 4.2s
Ep 118	 reward -15.954	 ms 223.3	 loss 0.156125	 4.2s
Ep 119	 reward -15.786	 ms 221.0	 loss 0.254451	 4.2s
Ep 120	 reward -15.921	 ms 222.9	 loss 0.198808	 4.2s
Ep 121	 reward -15.707	 ms 219.9	 loss 0.204391	 4.2s
Ep 122	 reward -15.664	 ms 219.3	 loss 0.185469	 4.1s
Ep 123	 reward -15.600	 ms 218.4	 loss 0.262105	 4.2s
Ep 124	 reward -15.604	 ms 218.4	 loss 0.165126	 4.1s
[vali @125] rel=0.8876 (best 0.8876)  N=137.8  L=214.3  S=195.7  W=159.3  LS=270.1  LW=228.0  SW=220.5  LSW=291.5
Ep 125	 reward -15.661	 ms 219.2	 loss 0.278302	 21.8s
Ep 126	 reward -15.621	 ms 218.7	 loss 0.249666	 4.2s
Ep 127	 reward -15.700	 ms 219.8	 loss 0.268756	 4.2s
Ep 128	 reward -15.614	 ms 218.6	 loss 0.211486	 4.1s
Ep 129	 reward -15.714	 ms 220.0	 loss 0.116770	 4.2s
Ep 130	 reward -15.761	 ms 220.7	 loss 0.205013	 4.1s
Ep 131	 reward -15.782	 ms 220.9	 loss 0.200317	 4.1s
Ep 132	 reward -15.575	 ms 218.1	 loss 0.122044	 4.1s
Ep 133	 reward -15.625	 ms 218.8	 loss 0.133006	 4.1s
Ep 134	 reward -15.536	 ms 217.5	 loss 0.161827	 4.1s
Ep 135	 reward -15.750	 ms 220.5	 loss 0.187058	 4.0s
Ep 136	 reward -15.593	 ms 218.3	 loss 0.319794	 4.1s
Ep 137	 reward -15.639	 ms 218.9	 loss 0.129841	 4.1s
Ep 138	 reward -15.721	 ms 220.1	 loss 0.148997	 4.1s
Ep 139	 reward -15.461	 ms 216.4	 loss 0.160705	 4.1s
Ep 140	 reward -15.471	 ms 216.6	 loss 0.188168	 4.0s
Ep 141	 reward -15.636	 ms 218.9	 loss 0.317650	 4.1s
Ep 142	 reward -15.654	 ms 219.2	 loss 0.393168	 4.1s
Ep 143	 reward -15.639	 ms 218.9	 loss 0.282395	 4.2s
Ep 144	 reward -15.643	 ms 219.0	 loss 0.187377	 4.2s
Ep 145	 reward -15.536	 ms 217.5	 loss 0.218930	 4.2s
Ep 146	 reward -15.536	 ms 217.5	 loss 0.271109	 4.2s
Ep 147	 reward -15.546	 ms 217.7	 loss 0.191110	 4.3s
Ep 148	 reward -15.586	 ms 218.2	 loss 0.242932	 4.2s
Ep 149	 reward -15.811	 ms 221.3	 loss 0.219073	 4.2s
[vali @150] rel=0.8877 (best 0.8876)  N=140.2  L=213.2  S=197.3  W=160.2  LS=270.3  LW=223.6  SW=221.6  LSW=288.9
Ep 150	 reward -15.696	 ms 219.8	 loss 0.321176	 19.6s
Ep 151	 reward -15.611	 ms 218.6	 loss 0.299745	 4.2s
Ep 152	 reward -15.593	 ms 218.3	 loss 0.169865	 4.2s
Ep 153	 reward -15.582	 ms 218.2	 loss 0.366907	 4.2s
Ep 154	 reward -15.575	 ms 218.1	 loss 0.237280	 4.2s
Ep 155	 reward -15.450	 ms 216.3	 loss 0.254526	 4.2s
Ep 156	 reward -15.643	 ms 219.0	 loss 0.188407	 4.2s
Ep 157	 reward -15.604	 ms 218.4	 loss 0.120947	 4.2s
Ep 158	 reward -15.593	 ms 218.3	 loss 0.182909	 4.2s
Ep 159	 reward -15.314	 ms 214.4	 loss 0.161996	 4.2s
Ep 160	 reward -15.746	 ms 220.4	 loss 0.200509	 4.1s
Ep 161	 reward -16.529	 ms 231.4	 loss 0.252340	 4.3s
Ep 162	 reward -16.475	 ms 230.7	 loss 0.371708	 4.2s
Ep 163	 reward -16.518	 ms 231.2	 loss 0.333852	 4.2s
Ep 164	 reward -16.357	 ms 229.0	 loss 0.364857	 4.2s
Ep 165	 reward -16.496	 ms 230.9	 loss 0.269773	 4.2s
Ep 166	 reward -16.468	 ms 230.6	 loss 0.327587	 4.3s
Ep 167	 reward -16.450	 ms 230.3	 loss 0.401146	 4.2s
Ep 168	 reward -16.461	 ms 230.4	 loss 0.382264	 4.3s
Ep 169	 reward -16.593	 ms 232.3	 loss 0.351371	 4.2s
Ep 170	 reward -16.400	 ms 229.6	 loss 0.292494	 4.3s
Ep 171	 reward -16.418	 ms 229.8	 loss 0.263434	 4.2s
Ep 172	 reward -16.436	 ms 230.1	 loss 0.149354	 4.2s
Ep 173	 reward -16.379	 ms 229.3	 loss 0.194449	 4.2s
Ep 174	 reward -16.343	 ms 228.8	 loss 0.277602	 4.3s
[vali @175] rel=0.8802 (best 0.8802)  N=134.1  L=213.7  S=195.6  W=156.4  LS=273.0  LW=223.7  SW=218.9  LSW=291.0
Ep 175	 reward -16.425	 ms 229.9	 loss 0.369240	 19.8s
Ep 176	 reward -16.418	 ms 229.8	 loss 0.292932	 4.3s
Ep 177	 reward -16.379	 ms 229.3	 loss 0.263407	 4.2s
Ep 178	 reward -16.371	 ms 229.2	 loss 0.153966	 4.2s
Ep 179	 reward -16.429	 ms 230.0	 loss 0.170731	 4.3s
Ep 180	 reward -16.182	 ms 226.6	 loss 0.235361	 4.2s
Ep 181	 reward -15.711	 ms 219.9	 loss 0.299953	 4.2s
Ep 182	 reward -15.721	 ms 220.1	 loss 0.348464	 4.2s
Ep 183	 reward -15.732	 ms 220.2	 loss 0.261652	 4.2s
Ep 184	 reward -15.714	 ms 220.0	 loss 0.053351	 4.1s
Ep 185	 reward -15.568	 ms 217.9	 loss 0.037994	 4.2s
Ep 186	 reward -15.761	 ms 220.7	 loss 0.284124	 4.2s
Ep 187	 reward -15.714	 ms 220.0	 loss 0.163180	 4.2s
Ep 188	 reward -15.704	 ms 219.8	 loss 0.355026	 4.1s
Ep 189	 reward -15.725	 ms 220.2	 loss 0.092476	 4.1s
Ep 190	 reward -15.718	 ms 220.1	 loss 0.253249	 4.1s
Ep 191	 reward -15.729	 ms 220.2	 loss 0.295629	 4.2s
Ep 192	 reward -15.575	 ms 218.1	 loss 0.277980	 4.2s
Ep 193	 reward -15.664	 ms 219.3	 loss 0.190716	 4.2s
Ep 194	 reward -15.664	 ms 219.3	 loss 0.302962	 4.1s
Ep 195	 reward -15.729	 ms 220.2	 loss 0.305535	 4.1s
Ep 196	 reward -15.693	 ms 219.7	 loss 0.232580	 4.1s
Ep 197	 reward -15.679	 ms 219.5	 loss 0.266849	 4.1s
Ep 198	 reward -15.893	 ms 222.5	 loss 0.291747	 4.2s
Ep 199	 reward -15.736	 ms 220.3	 loss 0.239504	 4.1s
