[vali] MWKR norms: LW=243.4
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-LW-s303 regimes=['LW'] updates=1000
Ep 83	 reward -16.304	 ms 228.2	 loss 0.278305	 12.3s
Ep 84	 reward -16.246	 ms 227.4	 loss 0.302253	 13.1s
Ep 85	 reward -16.286	 ms 228.0	 loss 0.367388	 12.0s
Ep 86	 reward -16.207	 ms 226.9	 loss 0.381141	 11.5s
Ep 87	 reward -16.129	 ms 225.8	 loss 0.288089	 12.2s
Ep 88	 reward -16.089	 ms 225.2	 loss 0.282511	 12.6s
Ep 89	 reward -16.193	 ms 226.7	 loss 0.187378	 11.7s
Ep 90	 reward -16.250	 ms 227.5	 loss 0.395504	 12.1s
Ep 91	 reward -16.296	 ms 228.2	 loss 0.361995	 12.7s
Ep 92	 reward -16.239	 ms 227.3	 loss 0.273739	 12.0s
Ep 93	 reward -16.136	 ms 225.9	 loss 0.261399	 12.0s
Ep 94	 reward -16.271	 ms 227.8	 loss 0.275697	 12.2s
Ep 95	 reward -16.239	 ms 227.3	 loss 0.210369	 12.7s
Ep 96	 reward -16.050	 ms 224.7	 loss 0.247425	 11.6s
Ep 97	 reward -16.171	 ms 226.4	 loss 0.367609	 11.1s
Ep 98	 reward -16.161	 ms 226.2	 loss 0.270644	 11.1s
Ep 99	 reward -16.111	 ms 225.6	 loss 0.248867	 10.8s
[vali @100] rel=0.9043 (best 0.9028)  LW=220.1
Ep 100	 reward -16.175	 ms 226.4	 loss 0.281244	 17.0s
Ep 101	 reward -16.168	 ms 226.3	 loss 0.063371	 10.8s
Ep 102	 reward -16.204	 ms 226.8	 loss 0.057140	 12.0s
Ep 103	 reward -16.239	 ms 227.3	 loss 0.035097	 12.1s
Ep 104	 reward -16.264	 ms 227.7	 loss 0.016408	 11.9s
Ep 105	 reward -16.382	 ms 229.3	 loss 0.270361	 11.7s
Ep 106	 reward -16.357	 ms 229.0	 loss 0.118387	 12.1s
Ep 107	 reward -16.200	 ms 226.8	 loss 0.121144	 11.9s
Ep 108	 reward -16.182	 ms 226.6	 loss -0.058238	 12.0s
Ep 109	 reward -16.393	 ms 229.5	 loss 0.136334	 12.2s
Ep 110	 reward -16.307	 ms 228.3	 loss -0.045679	 12.0s
Ep 111	 reward -16.500	 ms 231.0	 loss 0.103694	 12.0s
Ep 112	 reward -16.464	 ms 230.5	 loss 0.328456	 12.3s
Ep 113	 reward -16.450	 ms 230.3	 loss 0.205133	 12.7s
Ep 114	 reward -16.325	 ms 228.6	 loss 0.083609	 11.9s
Ep 115	 reward -16.461	 ms 230.4	 loss 0.061027	 12.6s
Ep 116	 reward -16.364	 ms 229.1	 loss 0.092996	 11.9s
Ep 117	 reward -16.339	 ms 228.8	 loss 0.035601	 13.9s
Ep 118	 reward -16.196	 ms 226.8	 loss 0.183206	 11.5s
Ep 119	 reward -16.311	 ms 228.3	 loss 0.008341	 12.3s
Ep 120	 reward -16.271	 ms 227.8	 loss 0.126499	 11.9s
Ep 121	 reward -16.146	 ms 226.1	 loss 0.136192	 12.5s
Ep 122	 reward -16.143	 ms 226.0	 loss 0.132541	 12.0s
