[vali] MWKR norms: N=156.6
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-N-s303 regimes=['N'] updates=1000
Ep 83	 reward -9.914	 ms 138.8	 loss -0.056361	 17.5s
Ep 84	 reward -9.882	 ms 138.3	 loss -0.062150	 15.3s
Ep 85	 reward -9.936	 ms 139.1	 loss -0.018635	 15.2s
Ep 86	 reward -9.896	 ms 138.6	 loss 0.009169	 17.1s
Ep 87	 reward -9.861	 ms 138.1	 loss 0.032907	 14.8s
Ep 88	 reward -9.896	 ms 138.6	 loss 0.006495	 15.5s
Ep 89	 reward -9.861	 ms 138.1	 loss -0.090347	 14.4s
Ep 90	 reward -9.929	 ms 139.0	 loss -0.015706	 16.4s
Ep 91	 reward -9.754	 ms 136.6	 loss -0.053880	 15.7s
Ep 92	 reward -9.864	 ms 138.1	 loss -0.089201	 17.3s
Ep 93	 reward -9.836	 ms 137.7	 loss -0.093725	 14.0s
Ep 94	 reward -9.871	 ms 138.2	 loss -0.078190	 16.9s
Ep 95	 reward -9.807	 ms 137.3	 loss 0.003973	 13.6s
Ep 96	 reward -9.771	 ms 136.8	 loss -0.097692	 16.3s
Ep 97	 reward -9.721	 ms 136.1	 loss -0.085788	 15.3s
Ep 98	 reward -9.768	 ms 136.8	 loss 0.022607	 15.6s
Ep 99	 reward -9.736	 ms 136.3	 loss -0.062448	 15.6s
[vali @100] rel=0.8397 (best 0.8397)  N=131.5
Ep 100	 reward -9.725	 ms 136.2	 loss -0.042383	 24.6s
Ep 101	 reward -9.704	 ms 135.8	 loss -0.111462	 14.7s
Ep 102	 reward -9.729	 ms 136.2	 loss -0.131470	 14.6s
Ep 103	 reward -9.707	 ms 135.9	 loss -0.099361	 14.1s
Ep 104	 reward -9.689	 ms 135.7	 loss -0.081668	 14.8s
Ep 105	 reward -9.657	 ms 135.2	 loss -0.088873	 14.7s
Ep 106	 reward -9.571	 ms 134.0	 loss -0.103979	 14.5s
Ep 107	 reward -9.575	 ms 134.1	 loss 0.084848	 14.1s
Ep 108	 reward -9.571	 ms 134.0	 loss 0.094152	 16.7s
Ep 109	 reward -9.639	 ms 134.9	 loss -0.056663	 13.9s
Ep 110	 reward -9.682	 ms 135.6	 loss -0.006747	 14.4s
Ep 111	 reward -9.668	 ms 135.3	 loss -0.116736	 12.2s
Ep 112	 reward -9.625	 ms 134.8	 loss 0.021208	 14.4s
Ep 113	 reward -9.575	 ms 134.1	 loss -0.086762	 11.7s
Ep 114	 reward -9.604	 ms 134.4	 loss -0.088116	 11.7s
Ep 115	 reward -9.589	 ms 134.2	 loss -0.064481	 15.1s
Ep 116	 reward -9.589	 ms 134.2	 loss 0.042114	 11.5s
Ep 117	 reward -9.550	 ms 133.7	 loss -0.105447	 13.6s
Ep 118	 reward -9.611	 ms 134.6	 loss -0.079495	 12.2s
Ep 119	 reward -9.557	 ms 133.8	 loss -0.118583	 14.6s
Ep 120	 reward -9.579	 ms 134.1	 loss -0.117563	 14.5s
Ep 121	 reward -9.504	 ms 133.1	 loss -0.002720	 13.8s
Ep 122	 reward -9.529	 ms 133.4	 loss -0.005620	 12.7s
Ep 123	 reward -9.457	 ms 132.4	 loss -0.016746	 11.3s
Ep 124	 reward -9.525	 ms 133.3	 loss -0.086917	 13.5s
[vali @125] rel=0.8413 (best 0.8397)  N=131.8
Ep 125	 reward -9.461	 ms 132.4	 loss -0.007415	 22.7s
Ep 126	 reward -9.496	 ms 132.9	 loss 0.114871	 13.0s
Ep 127	 reward -9.521	 ms 133.3	 loss -0.053817	 14.2s
Ep 128	 reward -9.432	 ms 132.1	 loss 0.041422	 14.8s
Ep 129	 reward -9.493	 ms 132.9	 loss 0.019072	 12.1s
Ep 130	 reward -9.446	 ms 132.2	 loss 0.033783	 12.1s
Ep 131	 reward -9.400	 ms 131.6	 loss 0.017722	 12.9s
Ep 132	 reward -9.475	 ms 132.7	 loss -0.027959	 10.1s
Ep 133	 reward -9.464	 ms 132.5	 loss -0.040015	 13.2s
Ep 134	 reward -9.486	 ms 132.8	 loss 0.097877	 12.2s
Ep 135	 reward -9.429	 ms 132.0	 loss 0.010737	 11.6s
Ep 136	 reward -9.457	 ms 132.4	 loss 0.100627	 14.8s
Ep 137	 reward -9.475	 ms 132.7	 loss -0.096241	 15.5s
Ep 138	 reward -9.518	 ms 133.2	 loss 0.070221	 16.2s
Ep 139	 reward -9.436	 ms 132.1	 loss 0.090334	 15.2s
Ep 140	 reward -9.511	 ms 133.2	 loss 0.034940	 13.7s
Ep 141	 reward -9.561	 ms 133.8	 loss -0.070859	 15.1s
Ep 142	 reward -9.543	 ms 133.6	 loss -0.116866	 15.7s
