[vali] MWKR norms: LW=252.9
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-LW-s302 regimes=['LW'] updates=1000
Ep 1	 reward -17.018	 ms 238.2	 loss 0.244159	 12.4s
Ep 2	 reward -17.075	 ms 239.1	 loss 0.211197	 9.6s
Ep 3	 reward -16.829	 ms 235.6	 loss 0.120179	 10.5s
Ep 4	 reward -17.118	 ms 239.7	 loss 0.175943	 10.9s
Ep 5	 reward -16.961	 ms 237.4	 loss 0.269331	 11.6s
Ep 6	 reward -16.914	 ms 236.8	 loss 0.352617	 10.6s
Ep 7	 reward -17.018	 ms 238.2	 loss 0.299619	 10.5s
Ep 8	 reward -16.996	 ms 237.9	 loss 0.315063	 9.8s
Ep 9	 reward -16.982	 ms 237.8	 loss 0.232620	 12.3s
Ep 10	 reward -17.125	 ms 239.8	 loss 0.292414	 11.5s
Ep 11	 reward -16.989	 ms 237.8	 loss 0.170843	 10.7s
Ep 12	 reward -16.900	 ms 236.6	 loss 0.187863	 9.9s
Ep 13	 reward -16.986	 ms 237.8	 loss 0.349096	 10.5s
Ep 14	 reward -17.000	 ms 238.0	 loss 0.153376	 11.5s
Ep 15	 reward -16.929	 ms 237.0	 loss 0.258864	 10.8s
Ep 16	 reward -16.907	 ms 236.7	 loss 0.349164	 10.3s
Ep 17	 reward -17.043	 ms 238.6	 loss 0.245038	 11.4s
Ep 18	 reward -16.971	 ms 237.6	 loss 0.336261	 11.2s
Ep 19	 reward -17.000	 ms 238.0	 loss 0.220120	 12.6s
Ep 20	 reward -16.982	 ms 237.8	 loss 0.240260	 11.6s
Ep 21	 reward -16.839	 ms 235.8	 loss 0.205816	 11.5s
Ep 22	 reward -16.896	 ms 236.6	 loss 0.338821	 11.8s
Ep 23	 reward -16.961	 ms 237.4	 loss 0.352718	 12.1s
Ep 24	 reward -16.954	 ms 237.3	 loss 0.329367	 12.0s
[vali @25] rel=0.8933 (best 0.8933)  LW=225.9
Ep 25	 reward -16.746	 ms 234.4	 loss 0.288169	 19.1s
Ep 26	 reward -16.871	 ms 236.2	 loss 0.293676	 11.5s
Ep 27	 reward -17.089	 ms 239.2	 loss 0.248850	 11.6s
Ep 28	 reward -16.779	 ms 234.9	 loss 0.239950	 11.0s
Ep 29	 reward -16.839	 ms 235.8	 loss 0.296657	 11.2s
Ep 30	 reward -16.914	 ms 236.8	 loss 0.351624	 11.7s
Ep 31	 reward -16.761	 ms 234.7	 loss 0.310814	 11.1s
Ep 32	 reward -16.757	 ms 234.6	 loss 0.291956	 11.7s
Ep 33	 reward -16.857	 ms 236.0	 loss 0.173956	 11.3s
Ep 34	 reward -16.911	 ms 236.8	 loss 0.234661	 11.5s
Ep 35	 reward -16.814	 ms 235.4	 loss 0.301960	 11.3s
Ep 36	 reward -16.768	 ms 234.8	 loss 0.283450	 11.4s
Ep 37	 reward -16.868	 ms 236.2	 loss 0.372454	 11.4s
Ep 38	 reward -16.686	 ms 233.6	 loss 0.289026	 11.1s
Ep 39	 reward -16.868	 ms 236.2	 loss 0.334178	 11.6s
Ep 40	 reward -16.900	 ms 236.6	 loss 0.346270	 11.0s
Ep 41	 reward -16.725	 ms 234.2	 loss 0.253644	 11.5s
Ep 42	 reward -16.671	 ms 233.4	 loss 0.209694	 11.2s
Ep 43	 reward -16.864	 ms 236.1	 loss 0.101247	 11.2s
Ep 44	 reward -16.575	 ms 232.1	 loss 0.202194	 11.5s
Ep 45	 reward -16.682	 ms 233.6	 loss 0.088368	 11.4s
Ep 46	 reward -16.754	 ms 234.6	 loss 0.173475	 11.0s
Ep 47	 reward -16.625	 ms 232.8	 loss 0.097281	 11.3s
Ep 48	 reward -16.811	 ms 235.3	 loss 0.175843	 11.5s
Ep 49	 reward -16.746	 ms 234.4	 loss 0.262786	 11.6s
[vali @50] rel=0.8913 (best 0.8913)  LW=225.4
Ep 50	 reward -16.604	 ms 232.4	 loss 0.089548	 19.3s
Ep 51	 reward -16.607	 ms 232.5	 loss 0.161820	 11.7s
Ep 52	 reward -16.875	 ms 236.2	 loss 0.220927	 11.6s
Ep 53	 reward -16.507	 ms 231.1	 loss 0.090285	 10.9s
Ep 54	 reward -16.643	 ms 233.0	 loss 0.175436	 11.3s
Ep 55	 reward -16.704	 ms 233.8	 loss 0.071913	 11.5s
Ep 56	 reward -16.743	 ms 234.4	 loss 0.352098	 11.8s
Ep 57	 reward -16.657	 ms 233.2	 loss 0.258753	 11.9s
Ep 58	 reward -16.889	 ms 236.4	 loss 0.141876	 12.4s
Ep 59	 reward -16.496	 ms 230.9	 loss 0.135860	 13.0s
Ep 60	 reward -16.679	 ms 233.5	 loss 0.161407	 11.5s
Ep 61	 reward -16.586	 ms 232.2	 loss 0.154207	 12.5s
Ep 62	 reward -16.579	 ms 232.1	 loss 0.071879	 12.1s
Ep 63	 reward -16.557	 ms 231.8	 loss 0.035435	 14.5s
Ep 64	 reward -16.568	 ms 231.9	 loss 0.062970	 12.9s
Ep 65	 reward -16.575	 ms 232.1	 loss 0.079959	 12.1s
Ep 66	 reward -16.596	 ms 232.3	 loss 0.047653	 13.5s
Ep 67	 reward -16.586	 ms 232.2	 loss 0.050372	 11.1s
Ep 68	 reward -16.596	 ms 232.3	 loss 0.129582	 12.4s
Ep 69	 reward -16.550	 ms 231.7	 loss 0.106065	 13.3s
Ep 70	 reward -16.511	 ms 231.2	 loss 0.098310	 12.5s
Ep 71	 reward -16.582	 ms 232.2	 loss 0.002742	 11.5s
Ep 72	 reward -16.650	 ms 233.1	 loss -0.011139	 12.9s
Ep 73	 reward -16.771	 ms 234.8	 loss 0.104383	 12.2s
Ep 74	 reward -16.564	 ms 231.9	 loss 0.053817	 11.9s
[vali @75] rel=0.8741 (best 0.8741)  LW=221.1
Ep 75	 reward -16.600	 ms 232.4	 loss 0.092729	 20.4s
Ep 76	 reward -16.546	 ms 231.7	 loss 0.053304	 12.0s
Ep 77	 reward -16.529	 ms 231.4	 loss 0.036249	 12.0s
