[train_family] shaping envelope: delta_mode=min (admissible, tight (the paper's))
[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7  LS=304.4  LW=243.4
[model] params total=34322  film=0 (0.00%)
[train_family] model=10x25+family+joint-concat-s302 regimes=['N', 'L', 'S', 'W', 'LS', 'LW'] updates=2000
Ep 1	 reward -15.571	 ms 218.0	 loss 1.054650	 6.7s
Ep 2	 reward -15.586	 ms 218.2	 loss 0.809462	 6.0s
Ep 3	 reward -15.268	 ms 213.8	 loss 0.587513	 6.8s
Ep 4	 reward -15.482	 ms 216.8	 loss 0.702767	 6.7s
Ep 5	 reward -15.407	 ms 215.7	 loss 0.501083	 6.8s
Ep 6	 reward -15.214	 ms 213.0	 loss 0.493572	 6.5s
Ep 7	 reward -15.443	 ms 216.2	 loss 0.738923	 6.6s
Ep 8	 reward -15.414	 ms 215.8	 loss 0.828410	 6.8s
Ep 9	 reward -15.414	 ms 215.8	 loss 0.748392	 6.8s
Ep 10	 reward -15.368	 ms 215.2	 loss 0.715334	 6.8s
Ep 11	 reward -15.396	 ms 215.6	 loss 0.609970	 6.6s
Ep 12	 reward -15.418	 ms 215.8	 loss 0.618193	 6.7s
Ep 13	 reward -15.361	 ms 215.1	 loss 0.490561	 6.6s
Ep 14	 reward -15.579	 ms 218.1	 loss 0.577111	 6.5s
Ep 15	 reward -15.611	 ms 218.6	 loss 0.546936	 6.6s
Ep 16	 reward -15.211	 ms 212.9	 loss 0.529358	 6.0s
Ep 17	 reward -15.339	 ms 214.8	 loss 0.495395	 6.1s
Ep 18	 reward -15.471	 ms 216.6	 loss 0.484699	 6.0s
Ep 19	 reward -15.414	 ms 215.8	 loss 0.560451	 6.0s
Ep 20	 reward -15.286	 ms 214.0	 loss 0.489740	 6.6s
Ep 21	 reward -15.421	 ms 215.9	 loss 0.448712	 6.7s
Ep 22	 reward -15.214	 ms 213.0	 loss 0.529135	 6.5s
Ep 23	 reward -15.454	 ms 216.3	 loss 0.528263	 6.6s
Ep 24	 reward -15.475	 ms 216.7	 loss 0.377775	 6.6s
[vali @25] rel=0.8883 (best 0.8883)  N=135.1  L=217.2  S=193.9  W=153.7  LS=271.8  LW=225.9
Ep 25	 reward -15.475	 ms 216.7	 loss 0.591408	 29.1s
Ep 26	 reward -15.371	 ms 215.2	 loss 0.540275	 6.1s
Ep 27	 reward -15.471	 ms 216.6	 loss 0.474130	 6.0s
Ep 28	 reward -15.604	 ms 218.4	 loss 0.522972	 6.6s
Ep 29	 reward -15.454	 ms 216.3	 loss 0.394108	 6.6s
Ep 30	 reward -15.379	 ms 215.3	 loss 0.493330	 6.6s
Ep 31	 reward -15.418	 ms 215.8	 loss 0.414974	 6.9s
Ep 32	 reward -15.446	 ms 216.2	 loss 0.448654	 7.8s
Ep 33	 reward -15.421	 ms 215.9	 loss 0.443929	 6.5s
Ep 34	 reward -15.279	 ms 213.9	 loss 0.277412	 6.5s
Ep 35	 reward -15.214	 ms 213.0	 loss 0.305424	 6.7s
Ep 36	 reward -15.486	 ms 216.8	 loss 0.298422	 6.9s
Ep 37	 reward -15.364	 ms 215.1	 loss 0.531835	 6.6s
Ep 38	 reward -15.282	 ms 213.9	 loss 0.415116	 6.5s
Ep 39	 reward -15.275	 ms 213.8	 loss 0.378060	 6.6s
Ep 40	 reward -15.225	 ms 213.2	 loss 0.207983	 7.2s
Ep 41	 reward -14.886	 ms 208.4	 loss 0.358685	 6.0s
Ep 42	 reward -14.850	 ms 207.9	 loss 0.371208	 6.0s
Ep 43	 reward -14.921	 ms 208.9	 loss 0.209174	 6.0s
Ep 44	 reward -14.893	 ms 208.5	 loss 0.258561	 6.6s
Ep 45	 reward -14.914	 ms 208.8	 loss 0.338741	 6.5s
Ep 46	 reward -14.875	 ms 208.2	 loss 0.329454	 6.8s
Ep 47	 reward -14.779	 ms 206.9	 loss 0.197850	 6.6s
Ep 48	 reward -14.907	 ms 208.7	 loss 0.251084	 6.9s
Ep 49	 reward -14.918	 ms 208.8	 loss 0.390277	 6.6s
[vali @50] rel=0.8894 (best 0.8883)  N=134.2  L=218.7  S=192.4  W=150.5  LS=275.6  LW=230.2
Ep 50	 reward -15.000	 ms 210.0	 loss 0.254185	 29.5s
Ep 51	 reward -14.904	 ms 208.7	 loss 0.300930	 6.1s
Ep 52	 reward -14.836	 ms 207.7	 loss 0.331360	 6.0s
Ep 53	 reward -14.964	 ms 209.5	 loss 0.228629	 7.1s
Ep 54	 reward -14.954	 ms 209.3	 loss 0.222056	 6.5s
Ep 55	 reward -14.989	 ms 209.8	 loss 0.359396	 6.6s
Ep 56	 reward -15.021	 ms 210.3	 loss 0.302190	 6.9s
Ep 57	 reward -15.000	 ms 210.0	 loss 0.349781	 6.5s
Ep 58	 reward -14.886	 ms 208.4	 loss 0.328269	 6.8s
Ep 59	 reward -14.971	 ms 209.6	 loss 0.235568	 6.6s
Ep 60	 reward -14.918	 ms 208.8	 loss 0.216775	 6.8s
Ep 61	 reward -14.496	 ms 202.9	 loss 0.092456	 6.7s
Ep 62	 reward -14.675	 ms 205.4	 loss 0.279130	 7.1s
Ep 63	 reward -14.571	 ms 204.0	 loss 0.253325	 6.5s
Ep 64	 reward -14.593	 ms 204.3	 loss 0.231765	 6.8s
Ep 65	 reward -14.618	 ms 204.7	 loss 0.196159	 6.5s
Ep 66	 reward -14.636	 ms 204.9	 loss 0.091530	 6.3s
