[vali] MWKR norms: LS=305.9
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-LS-s302 regimes=['LS'] updates=1000
Ep 1	 reward -20.011	 ms 280.1	 loss 0.751179	 46.9s
Ep 2	 reward -20.229	 ms 283.2	 loss 0.582915	 41.6s
Ep 3	 reward -19.979	 ms 279.7	 loss 0.424647	 39.9s
Ep 4	 reward -20.221	 ms 283.1	 loss 0.439542	 43.9s
Ep 5	 reward -20.146	 ms 282.1	 loss 0.460082	 42.9s
Ep 6	 reward -19.911	 ms 278.8	 loss 0.565517	 38.1s
Ep 7	 reward -20.021	 ms 280.3	 loss 0.386931	 38.6s
Ep 8	 reward -19.904	 ms 278.6	 loss 0.493162	 41.5s
Ep 9	 reward -20.086	 ms 281.2	 loss 0.239237	 40.0s
Ep 10	 reward -20.104	 ms 281.4	 loss 0.515454	 43.8s
Ep 11	 reward -19.946	 ms 279.2	 loss 0.577021	 43.9s
Ep 12	 reward -19.893	 ms 278.5	 loss 0.376395	 45.4s
Ep 13	 reward -19.964	 ms 279.5	 loss 0.548715	 42.1s
Ep 14	 reward -20.193	 ms 282.7	 loss 0.412396	 45.3s
Ep 15	 reward -20.161	 ms 282.2	 loss 0.336384	 47.0s
Ep 16	 reward -20.168	 ms 282.4	 loss 0.358017	 45.5s
Ep 17	 reward -19.911	 ms 278.8	 loss 0.471951	 45.9s
Ep 18	 reward -19.800	 ms 277.2	 loss 0.379053	 46.1s
Ep 19	 reward -20.132	 ms 281.9	 loss 0.447164	 43.5s
Ep 20	 reward -19.943	 ms 279.2	 loss 0.192411	 47.0s
Ep 21	 reward -19.982	 ms 279.8	 loss 0.138394	 40.6s
Ep 22	 reward -20.061	 ms 280.9	 loss 0.354805	 42.2s
Ep 23	 reward -20.021	 ms 280.3	 loss 0.414797	 42.3s
Ep 24	 reward -20.011	 ms 280.1	 loss 0.365849	 41.8s
[vali @25] rel=0.8915 (best 0.8915)  LS=272.6
Ep 25	 reward -20.121	 ms 281.7	 loss 0.394246	 85.3s
Ep 26	 reward -19.961	 ms 279.4	 loss 0.407265	 45.6s
Ep 27	 reward -20.025	 ms 280.4	 loss 0.509544	 46.5s
Ep 28	 reward -20.132	 ms 281.9	 loss 0.347334	 47.3s
Ep 29	 reward -20.271	 ms 283.8	 loss 0.367440	 44.7s
Ep 30	 reward -20.054	 ms 280.8	 loss 0.300699	 45.3s
Ep 31	 reward -20.082	 ms 281.1	 loss 0.351985	 43.9s
Ep 32	 reward -20.200	 ms 282.8	 loss 0.414339	 40.7s
Ep 33	 reward -20.082	 ms 281.1	 loss 0.424027	 39.2s
Ep 34	 reward -19.821	 ms 277.5	 loss 0.358815	 38.6s
Ep 35	 reward -19.961	 ms 279.4	 loss 0.428317	 38.5s
Ep 36	 reward -19.957	 ms 279.4	 loss 0.383130	 38.4s
Ep 37	 reward -20.114	 ms 281.6	 loss 0.361066	 36.2s
Ep 38	 reward -20.189	 ms 282.6	 loss 0.395780	 38.2s
Ep 39	 reward -19.893	 ms 278.5	 loss 0.353402	 38.1s
Ep 40	 reward -20.207	 ms 282.9	 loss 0.183703	 35.5s
Ep 41	 reward -20.364	 ms 285.1	 loss 0.408329	 37.5s
Ep 42	 reward -20.329	 ms 284.6	 loss 0.348989	 37.7s
Ep 43	 reward -20.371	 ms 285.2	 loss 0.178194	 37.3s
Ep 44	 reward -20.436	 ms 286.1	 loss 0.350697	 36.6s
Ep 45	 reward -20.339	 ms 284.8	 loss 0.363757	 40.0s
