[vali] MWKR norms: N=156.6
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-N-s302 regimes=['N'] updates=1000
Ep 1	 reward -10.550	 ms 147.7	 loss 0.613671	 9.1s
Ep 2	 reward -10.661	 ms 149.2	 loss 0.655502	 8.7s
Ep 3	 reward -10.521	 ms 147.3	 loss 0.704886	 9.5s
Ep 4	 reward -10.489	 ms 146.8	 loss 0.544145	 8.1s
Ep 5	 reward -10.661	 ms 149.2	 loss 0.345428	 8.1s
Ep 6	 reward -10.554	 ms 147.8	 loss 0.555022	 8.3s
Ep 7	 reward -10.650	 ms 149.1	 loss 0.576464	 9.9s
Ep 8	 reward -10.518	 ms 147.2	 loss 0.411069	 10.2s
Ep 9	 reward -10.543	 ms 147.6	 loss 0.338664	 8.2s
Ep 10	 reward -10.539	 ms 147.6	 loss 0.367529	 9.1s
Ep 11	 reward -10.721	 ms 150.1	 loss 0.324208	 8.7s
Ep 12	 reward -10.511	 ms 147.2	 loss 0.163821	 10.5s
Ep 13	 reward -10.543	 ms 147.6	 loss 0.242779	 10.3s
Ep 14	 reward -10.496	 ms 146.9	 loss 0.121360	 10.1s
Ep 15	 reward -10.564	 ms 147.9	 loss 0.181735	 9.8s
Ep 16	 reward -10.568	 ms 147.9	 loss 0.088396	 9.9s
Ep 17	 reward -10.586	 ms 148.2	 loss 0.102935	 10.5s
Ep 18	 reward -10.589	 ms 148.2	 loss 0.138679	 11.3s
Ep 19	 reward -10.639	 ms 148.9	 loss 0.224240	 10.4s
Ep 20	 reward -10.432	 ms 146.1	 loss 0.172395	 10.8s
Ep 21	 reward -10.446	 ms 146.2	 loss 0.115559	 11.3s
Ep 22	 reward -10.329	 ms 144.6	 loss 0.233298	 13.1s
Ep 23	 reward -10.400	 ms 145.6	 loss 0.241209	 11.8s
Ep 24	 reward -10.425	 ms 145.9	 loss 0.241657	 10.3s
[vali @25] rel=0.8716 (best 0.8716)  N=136.5
Ep 25	 reward -10.371	 ms 145.2	 loss 0.043055	 17.5s
Ep 26	 reward -10.375	 ms 145.2	 loss 0.127670	 13.9s
Ep 27	 reward -10.389	 ms 145.4	 loss 0.165430	 10.4s
Ep 28	 reward -10.525	 ms 147.3	 loss 0.180573	 9.8s
Ep 29	 reward -10.396	 ms 145.6	 loss 0.029555	 10.1s
Ep 30	 reward -10.311	 ms 144.3	 loss 0.170865	 12.6s
Ep 31	 reward -10.325	 ms 144.6	 loss 0.169811	 11.9s
Ep 32	 reward -10.332	 ms 144.7	 loss 0.066972	 10.5s
Ep 33	 reward -10.611	 ms 148.6	 loss 0.120239	 11.3s
Ep 34	 reward -10.339	 ms 144.8	 loss 0.121634	 11.5s
Ep 35	 reward -10.329	 ms 144.6	 loss 0.164986	 12.0s
Ep 36	 reward -10.346	 ms 144.8	 loss 0.138867	 11.5s
Ep 37	 reward -10.211	 ms 142.9	 loss 0.098431	 11.4s
Ep 38	 reward -10.200	 ms 142.8	 loss 0.100438	 11.9s
