[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7  LS=304.4  LW=243.4
[model] params total=71838  film=39052 (54.36%)
[train_family] model=10x25+family+joint-v1 regimes=['N', 'L', 'S', 'W', 'LS', 'LW'] updates=2000
Ep 79	 reward -14.650	 ms 205.1	 loss -0.019921	 9.4s
Ep 80	 reward -14.679	 ms 205.5	 loss -0.038411	 9.1s
Ep 81	 reward -14.500	 ms 203.0	 loss 0.244247	 8.9s
Ep 82	 reward -14.411	 ms 201.8	 loss 0.092544	 9.6s
Ep 83	 reward -14.589	 ms 204.2	 loss -0.024501	 9.1s
Ep 84	 reward -14.454	 ms 202.3	 loss 0.071764	 8.7s
Ep 85	 reward -14.496	 ms 202.9	 loss -0.015468	 9.0s
Ep 86	 reward -14.364	 ms 201.1	 loss 0.095354	 8.6s
Ep 87	 reward -14.521	 ms 203.3	 loss 0.168274	 8.9s
Ep 88	 reward -14.600	 ms 204.4	 loss 0.022252	 8.5s
Ep 89	 reward -14.475	 ms 202.7	 loss 0.046028	 9.4s
Ep 90	 reward -14.382	 ms 201.3	 loss 0.160992	 9.2s
Ep 91	 reward -14.454	 ms 202.3	 loss 0.035324	 9.4s
Ep 92	 reward -14.500	 ms 203.0	 loss -0.018622	 10.2s
Ep 93	 reward -14.711	 ms 205.9	 loss 0.137876	 9.7s
Ep 94	 reward -14.504	 ms 203.1	 loss 0.148415	 9.4s
Ep 95	 reward -14.489	 ms 202.8	 loss 0.087224	 9.8s
Ep 96	 reward -14.582	 ms 204.2	 loss 0.032432	 10.2s
Ep 97	 reward -14.446	 ms 202.2	 loss 0.094498	 9.6s
Ep 98	 reward -14.546	 ms 203.7	 loss 0.039278	 9.8s
Ep 99	 reward -14.546	 ms 203.7	 loss 0.109764	 9.5s
[vali @100] rel=0.8850 (best 0.8769)  N=133.6  L=210.8  S=195.5  W=157.6  LS=270.5  LW=224.4
Ep 100	 reward -14.361	 ms 201.1	 loss 0.023506	 42.5s
Ep 101	 reward -14.932	 ms 209.1	 loss 0.071010	 9.5s
Ep 102	 reward -14.825	 ms 207.6	 loss 0.025800	 9.2s
Ep 103	 reward -14.900	 ms 208.6	 loss 0.041934	 9.6s
Ep 104	 reward -14.850	 ms 207.9	 loss -0.014202	 9.2s
Ep 105	 reward -15.054	 ms 210.8	 loss 0.106330	 9.7s
Ep 106	 reward -14.861	 ms 208.1	 loss 0.128051	 9.2s
Ep 107	 reward -14.929	 ms 209.0	 loss 0.018437	 9.0s
Ep 108	 reward -14.968	 ms 209.6	 loss 0.073773	 9.2s
Ep 109	 reward -14.836	 ms 207.7	 loss 0.053264	 9.5s
Ep 110	 reward -14.814	 ms 207.4	 loss 0.021501	 8.9s
Ep 111	 reward -14.832	 ms 207.7	 loss 0.039628	 8.4s
Ep 112	 reward -14.843	 ms 207.8	 loss 0.058592	 8.7s
Ep 113	 reward -14.775	 ms 206.8	 loss 0.044904	 9.1s
Ep 114	 reward -14.879	 ms 208.3	 loss 0.253506	 9.3s
Ep 115	 reward -14.900	 ms 208.6	 loss 0.022669	 9.7s
Ep 116	 reward -14.900	 ms 208.6	 loss 0.087386	 9.3s
Ep 117	 reward -14.811	 ms 207.3	 loss 0.038671	 9.4s
Ep 118	 reward -14.814	 ms 207.4	 loss -0.025025	 9.9s
Ep 119	 reward -14.775	 ms 206.8	 loss -0.020249	 9.4s
Ep 120	 reward -14.854	 ms 207.9	 loss 0.165196	 9.4s
Ep 121	 reward -14.496	 ms 202.9	 loss 0.069360	 9.6s
Ep 122	 reward -14.614	 ms 204.6	 loss 0.111697	 9.3s
Ep 123	 reward -14.686	 ms 205.6	 loss 0.007706	 9.3s
Ep 124	 reward -14.475	 ms 202.7	 loss -0.008727	 9.3s
[vali @125] rel=0.8815 (best 0.8769)  N=131.7  L=210.8  S=196.2  W=157.3  LS=269.2  LW=222.9
Ep 125	 reward -14.500	 ms 203.0	 loss 0.082201	 43.5s
Ep 126	 reward -14.514	 ms 203.2	 loss 0.091739	 8.9s
Ep 127	 reward -14.593	 ms 204.3	 loss 0.204305	 9.0s
Ep 128	 reward -14.643	 ms 205.0	 loss 0.097565	 9.3s
Ep 129	 reward -14.589	 ms 204.2	 loss 0.081122	 8.9s
Ep 130	 reward -14.621	 ms 204.7	 loss 0.105194	 8.7s
Ep 131	 reward -14.504	 ms 203.1	 loss 0.132635	 9.1s
Ep 132	 reward -14.646	 ms 205.1	 loss 0.233073	 8.3s
Ep 133	 reward -14.539	 ms 203.6	 loss 0.133496	 8.5s
Ep 134	 reward -14.589	 ms 204.2	 loss 0.086792	 8.8s
Ep 135	 reward -14.457	 ms 202.4	 loss 0.132082	 8.3s
Ep 136	 reward -14.668	 ms 205.3	 loss 0.055893	 8.2s
Ep 137	 reward -14.518	 ms 203.2	 loss 0.098350	 8.5s
Ep 138	 reward -14.493	 ms 202.9	 loss 0.023660	 9.2s
Ep 139	 reward -14.739	 ms 206.3	 loss 0.183939	 9.5s
Ep 140	 reward -14.589	 ms 204.2	 loss 0.031299	 9.1s
Ep 141	 reward -14.829	 ms 207.6	 loss 0.100479	 9.4s
Ep 142	 reward -14.761	 ms 206.7	 loss 0.173481	 9.3s
Ep 143	 reward -14.768	 ms 206.8	 loss 0.020259	 9.8s
Ep 144	 reward -14.786	 ms 207.0	 loss 0.247127	 9.8s
Ep 145	 reward -14.761	 ms 206.7	 loss 0.082102	 9.6s
Ep 146	 reward -14.632	 ms 204.8	 loss 0.221843	 10.0s
Ep 147	 reward -14.775	 ms 206.8	 loss 0.016307	 9.9s
Ep 148	 reward -14.732	 ms 206.2	 loss -0.036414	 9.5s
Ep 149	 reward -14.636	 ms 204.9	 loss 0.325389	 9.6s
[vali @150] rel=0.8814 (best 0.8769)  N=133.3  L=210.6  S=195.0  W=155.6  LS=269.4  LW=223.8
Ep 150	 reward -14.825	 ms 207.6	 loss 0.138894	 43.3s
Ep 151	 reward -14.696	 ms 205.8	 loss -0.033440	 9.6s
Ep 152	 reward -14.707	 ms 205.9	 loss 0.161297	 9.2s
Ep 153	 reward -14.836	 ms 207.7	 loss 0.023685	 9.7s
Ep 154	 reward -14.682	 ms 205.6	 loss 0.193903	 9.3s
Ep 155	 reward -14.650	 ms 205.1	 loss 0.294605	 9.4s
Ep 156	 reward -14.764	 ms 206.7	 loss 0.147306	 8.6s
Ep 157	 reward -14.604	 ms 204.4	 loss 0.225294	 8.7s
Ep 158	 reward -14.582	 ms 204.2	 loss 0.034557	 8.7s
Ep 159	 reward -14.679	 ms 205.5	 loss 0.280079	 9.1s
Ep 160	 reward -14.721	 ms 206.1	 loss 0.271784	 8.6s
Ep 161	 reward -14.761	 ms 206.7	 loss 0.441257	 8.8s
