[train_family] DOMAIN-RANDOMIZED descriptor draws: {'cross': [0.5, 2.0], 'symmetric': False, 'density_range': [0.05, 0.35]}
[train_family] shaping envelope: delta_mode=min (admissible, tight (the paper's))
[vali] MWKR norms: N=156.6  L=226.9  S=261.4  W=210.2  LS=336.6  LW=264.2
[model] params total=71838  film=39052 (54.36%)
[train_family] model=10x25+family+joint-dr-s302 regimes=['N', 'L', 'S', 'W', 'LS', 'LW'] updates=2000
Ep 76	 reward -15.279	 ms 213.9	 loss 0.126125	 4.2s
Ep 77	 reward -15.432	 ms 216.1	 loss 0.189017	 4.4s
Ep 78	 reward -15.457	 ms 216.4	 loss 0.153044	 5.7s
Ep 79	 reward -15.411	 ms 215.8	 loss 0.141179	 6.1s
Ep 80	 reward -15.386	 ms 215.4	 loss 0.289666	 6.3s
Ep 81	 reward -15.696	 ms 219.8	 loss 0.266097	 5.0s
Ep 82	 reward -15.757	 ms 220.6	 loss 0.331885	 4.2s
Ep 83	 reward -15.889	 ms 222.4	 loss 0.503295	 4.5s
Ep 84	 reward -15.493	 ms 216.9	 loss 0.369171	 5.8s
Ep 85	 reward -15.632	 ms 218.8	 loss 0.268259	 6.3s
Ep 86	 reward -15.629	 ms 218.8	 loss 0.279097	 6.2s
Ep 87	 reward -15.607	 ms 218.5	 loss 0.288745	 4.7s
Ep 88	 reward -15.543	 ms 217.6	 loss 0.365538	 4.2s
Ep 89	 reward -15.607	 ms 218.5	 loss 0.295883	 4.5s
Ep 90	 reward -15.686	 ms 219.6	 loss 0.391727	 5.9s
Ep 91	 reward -15.789	 ms 221.1	 loss 0.233190	 6.4s
Ep 92	 reward -15.489	 ms 216.8	 loss 0.211555	 6.4s
Ep 93	 reward -15.704	 ms 219.8	 loss 0.295345	 4.7s
Ep 94	 reward -15.625	 ms 218.8	 loss 0.294813	 4.5s
Ep 95	 reward -15.600	 ms 218.4	 loss 0.305765	 4.6s
Ep 96	 reward -15.657	 ms 219.2	 loss 0.111592	 6.0s
Ep 97	 reward -15.614	 ms 218.6	 loss 0.245401	 6.1s
Ep 98	 reward -15.543	 ms 217.6	 loss 0.020999	 6.4s
Ep 99	 reward -15.593	 ms 218.3	 loss 0.293745	 4.4s
[vali @100] rel=0.8616 (best 0.8616)  N=131.7  L=215.7  S=209.3  W=172.9  LS=282.6  LW=242.1
Ep 100	 reward -15.550	 ms 217.7	 loss 0.301797	 27.8s
Ep 101	 reward -15.425	 ms 215.9	 loss 0.235000	 4.4s
Ep 102	 reward -15.361	 ms 215.1	 loss 0.142503	 4.4s
Ep 103	 reward -15.571	 ms 218.0	 loss 0.225198	 4.8s
Ep 104	 reward -15.550	 ms 217.7	 loss 0.252084	 6.2s
Ep 105	 reward -15.425	 ms 215.9	 loss 0.116515	 6.5s
Ep 106	 reward -15.457	 ms 216.4	 loss 0.153912	 5.8s
Ep 107	 reward -15.432	 ms 216.1	 loss 0.060457	 4.4s
Ep 108	 reward -15.568	 ms 217.9	 loss 0.331135	 4.3s
Ep 109	 reward -15.364	 ms 215.1	 loss 0.136717	 5.2s
Ep 110	 reward -15.518	 ms 217.2	 loss 0.280842	 6.0s
Ep 111	 reward -15.486	 ms 216.8	 loss 0.148847	 6.1s
Ep 112	 reward -15.629	 ms 218.8	 loss 0.105445	 5.8s
Ep 113	 reward -15.436	 ms 216.1	 loss 0.035773	 4.4s
Ep 114	 reward -15.557	 ms 217.8	 loss 0.143346	 4.2s
Ep 115	 reward -15.464	 ms 216.5	 loss 0.207487	 4.8s
Ep 116	 reward -15.479	 ms 216.7	 loss 0.192235	 6.3s
Ep 117	 reward -15.486	 ms 216.8	 loss 0.290028	 6.3s
Ep 118	 reward -15.264	 ms 213.7	 loss 0.122845	 5.8s
Ep 119	 reward -15.361	 ms 215.1	 loss 0.084603	 4.3s
Ep 120	 reward -15.521	 ms 217.3	 loss 0.111673	 4.4s
Ep 121	 reward -15.625	 ms 218.8	 loss 0.276406	 6.0s
Ep 122	 reward -15.971	 ms 223.6	 loss 0.324730	 6.5s
Ep 123	 reward -15.875	 ms 222.2	 loss 0.197080	 6.4s
Ep 124	 reward -15.854	 ms 221.9	 loss 0.182661	 5.2s
[vali @125] rel=0.8624 (best 0.8616)  N=130.4  L=215.8  S=210.8  W=172.2  LS=281.8  LW=245.1
Ep 125	 reward -15.811	 ms 221.3	 loss 0.216866	 27.2s
Ep 126	 reward -15.775	 ms 220.8	 loss 0.127809	 5.1s
Ep 127	 reward -15.864	 ms 222.1	 loss 0.242029	 4.5s
Ep 128	 reward -16.032	 ms 224.4	 loss 0.299665	 5.0s
Ep 129	 reward -16.036	 ms 224.5	 loss 0.148728	 6.4s
Ep 130	 reward -15.729	 ms 220.2	 loss 0.204061	 6.4s
Ep 131	 reward -15.925	 ms 222.9	 loss 0.216820	 6.4s
Ep 132	 reward -15.893	 ms 222.5	 loss 0.197599	 4.3s
Ep 133	 reward -15.764	 ms 220.7	 loss 0.166243	 4.5s
Ep 134	 reward -15.811	 ms 221.3	 loss 0.265045	 5.4s
Ep 135	 reward -15.686	 ms 219.6	 loss 0.139403	 6.3s
Ep 136	 reward -15.700	 ms 219.8	 loss 0.165210	 6.3s
Ep 137	 reward -15.682	 ms 219.6	 loss 0.148900	 5.9s
Ep 138	 reward -15.646	 ms 219.1	 loss 0.102363	 4.4s
Ep 139	 reward -15.789	 ms 221.1	 loss 0.237475	 4.5s
Ep 140	 reward -15.632	 ms 218.8	 loss 0.186931	 5.6s
Ep 141	 reward -15.561	 ms 217.8	 loss 0.297940	 6.2s
Ep 142	 reward -15.739	 ms 220.3	 loss 0.325398	 6.3s
Ep 143	 reward -15.636	 ms 218.9	 loss 0.169290	 5.4s
Ep 144	 reward -15.521	 ms 217.3	 loss 0.168182	 4.5s
Ep 145	 reward -15.668	 ms 219.3	 loss 0.249191	 4.3s
Ep 146	 reward -15.704	 ms 219.8	 loss 0.146082	 5.3s
Ep 147	 reward -15.621	 ms 218.7	 loss 0.137934	 6.4s
Ep 148	 reward -15.614	 ms 218.6	 loss 0.163063	 6.6s
Ep 149	 reward -15.386	 ms 215.4	 loss 0.174351	 5.1s
[vali @150] rel=0.8666 (best 0.8616)  N=130.2  L=217.3  S=210.7  W=174.7  LS=284.4  LW=245.4
Ep 150	 reward -15.600	 ms 218.4	 loss 0.107602	 27.2s
Ep 151	 reward -15.475	 ms 216.7	 loss 0.229897	 5.0s
Ep 152	 reward -15.575	 ms 218.1	 loss 0.174004	 4.3s
Ep 153	 reward -15.493	 ms 216.9	 loss 0.090247	 4.9s
Ep 154	 reward -15.389	 ms 215.4	 loss 0.056854	 5.7s
Ep 155	 reward -15.393	 ms 215.5	 loss 0.256925	 6.5s
Ep 156	 reward -15.446	 ms 216.2	 loss 0.227769	 6.0s
Ep 157	 reward -15.525	 ms 217.3	 loss 0.121742	 4.8s
Ep 158	 reward -15.471	 ms 216.6	 loss 0.297985	 4.3s
Ep 159	 reward -15.500	 ms 217.0	 loss 0.135240	 4.7s
Ep 160	 reward -15.379	 ms 215.3	 loss 0.077137	 6.0s
Ep 161	 reward -15.704	 ms 219.8	 loss 0.376000	 6.6s
Ep 162	 reward -15.854	 ms 221.9	 loss 0.317321	 6.7s
Ep 163	 reward -15.786	 ms 221.0	 loss 0.187686	 4.3s
Ep 164	 reward -15.768	 ms 220.8	 loss 0.155861	 4.3s
Ep 165	 reward -15.729	 ms 220.2	 loss 0.261294	 5.0s
Ep 166	 reward -15.646	 ms 219.1	 loss 0.189080	 6.3s
Ep 167	 reward -15.807	 ms 221.3	 loss 0.128649	 6.3s
Ep 168	 reward -15.664	 ms 219.3	 loss 0.205765	 5.9s
Ep 169	 reward -15.614	 ms 218.6	 loss 0.254588	 4.3s
Ep 170	 reward -15.700	 ms 219.8	 loss 0.130959	 4.5s
Ep 171	 reward -15.843	 ms 221.8	 loss 0.131597	 5.1s
Ep 172	 reward -15.729	 ms 220.2	 loss 0.092396	 6.3s
Ep 173	 reward -15.636	 ms 218.9	 loss 0.247374	 6.7s
Ep 174	 reward -15.636	 ms 218.9	 loss 0.208093	 5.6s
[vali @175] rel=0.8624 (best 0.8616)  N=131.2  L=214.3  S=210.9  W=173.7  LS=284.7  LW=241.3
Ep 175	 reward -15.657	 ms 219.2	 loss 0.140658	 27.2s
Ep 176	 reward -15.682	 ms 219.6	 loss 0.113287	 4.9s
Ep 177	 reward -15.750	 ms 220.5	 loss -0.005852	 4.3s
Ep 178	 reward -15.564	 ms 217.9	 loss 0.209903	 4.6s
Ep 179	 reward -15.675	 ms 219.4	 loss 0.259761	 5.6s
Ep 180	 reward -15.675	 ms 219.4	 loss -0.026633	 6.3s
Ep 181	 reward -15.196	 ms 212.8	 loss 0.457555	 6.2s
Ep 182	 reward -15.132	 ms 211.8	 loss 0.279937	 4.9s
Ep 183	 reward -15.157	 ms 212.2	 loss 0.147288	 4.4s
Ep 184	 reward -14.989	 ms 209.8	 loss 0.104782	 4.5s
Ep 185	 reward -15.071	 ms 211.0	 loss 0.094171	 5.7s
Ep 186	 reward -15.039	 ms 210.6	 loss 0.075883	 6.5s
Ep 187	 reward -15.154	 ms 212.2	 loss 0.172561	 6.5s
Ep 188	 reward -15.121	 ms 211.7	 loss 0.217598	 4.9s
Ep 189	 reward -15.004	 ms 210.1	 loss 0.089729	 4.8s
Ep 190	 reward -15.218	 ms 213.1	 loss 0.084997	 5.2s
Ep 191	 reward -15.107	 ms 211.5	 loss -0.010506	 4.9s
Ep 192	 reward -15.039	 ms 210.6	 loss 0.103522	 5.0s
Ep 193	 reward -15.039	 ms 210.6	 loss -0.005795	 5.0s
Ep 194	 reward -14.975	 ms 209.7	 loss 0.011515	 5.3s
Ep 195	 reward -15.132	 ms 211.8	 loss -0.015329	 5.4s
Ep 196	 reward -15.171	 ms 212.4	 loss 0.115843	 5.0s
Ep 197	 reward -15.043	 ms 210.6	 loss 0.063880	 4.9s
Ep 198	 reward -14.996	 ms 209.9	 loss 0.060643	 4.9s
Ep 199	 reward -15.021	 ms 210.3	 loss -0.025989	 5.2s
[vali @200] rel=0.8632 (best 0.8616)  N=131.5  L=212.7  S=211.6  W=174.2  LS=287.0  LW=240.9
Ep 200	 reward -15.004	 ms 210.1	 loss -0.020469	 28.0s
Ep 201	 reward -14.807	 ms 207.3	 loss 0.071410	 5.1s
Ep 202	 reward -14.889	 ms 208.4	 loss 0.188904	 5.1s
Ep 203	 reward -14.979	 ms 209.7	 loss 0.213087	 5.4s
Ep 204	 reward -14.964	 ms 209.5	 loss 0.005976	 5.3s
Ep 205	 reward -14.896	 ms 208.6	 loss 0.037940	 5.1s
Ep 206	 reward -14.900	 ms 208.6	 loss 0.098152	 4.9s
Ep 207	 reward -15.007	 ms 210.1	 loss 0.001288	 5.1s
Ep 208	 reward -14.850	 ms 207.9	 loss 0.032889	 5.1s
Ep 209	 reward -14.696	 ms 205.8	 loss 0.098849	 5.3s
Ep 210	 reward -14.925	 ms 208.9	 loss 0.182161	 5.2s
Ep 211	 reward -14.889	 ms 208.4	 loss 0.113591	 5.3s
Ep 212	 reward -14.843	 ms 207.8	 loss 0.171807	 5.1s
Ep 213	 reward -14.889	 ms 208.4	 loss 0.102728	 5.0s
Ep 214	 reward -14.804	 ms 207.2	 loss 0.099587	 5.3s
Ep 215	 reward -14.989	 ms 209.8	 loss 0.090592	 5.2s
Ep 216	 reward -14.879	 ms 208.3	 loss 0.173802	 5.4s
Ep 217	 reward -14.939	 ms 209.2	 loss 0.014823	 5.4s
Ep 218	 reward -14.889	 ms 208.4	 loss -0.021799	 5.4s
Ep 219	 reward -14.850	 ms 207.9	 loss 0.249398	 5.1s
Ep 220	 reward -14.886	 ms 208.4	 loss 0.015212	 4.9s
Ep 221	 reward -15.000	 ms 210.0	 loss 0.214212	 5.6s
Ep 222	 reward -14.954	 ms 209.3	 loss 0.259412	 5.6s
Ep 223	 reward -14.946	 ms 209.2	 loss 0.269578	 5.9s
Ep 224	 reward -15.000	 ms 210.0	 loss 0.179611	 5.1s
[vali @225] rel=0.8617 (best 0.8616)  N=130.8  L=214.6  S=210.1  W=172.2  LS=286.1  LW=242.1
Ep 225	 reward -14.971	 ms 209.6	 loss 0.151471	 28.3s
Ep 226	 reward -14.871	 ms 208.2	 loss 0.063012	 5.3s
Ep 227	 reward -15.161	 ms 212.2	 loss 0.189744	 5.2s
Ep 228	 reward -15.082	 ms 211.2	 loss 0.194702	 5.6s
Ep 229	 reward -14.904	 ms 208.7	 loss 0.227454	 5.6s
Ep 230	 reward -15.111	 ms 211.6	 loss 0.298053	 5.3s
Ep 231	 reward -15.100	 ms 211.4	 loss 0.312763	 5.6s
Ep 232	 reward -14.896	 ms 208.6	 loss 0.162472	 5.8s
Ep 233	 reward -14.886	 ms 208.4	 loss 0.123910	 5.5s
Ep 234	 reward -14.825	 ms 207.6	 loss 0.191745	 5.7s
Ep 235	 reward -14.954	 ms 209.3	 loss 0.320236	 5.7s
Ep 236	 reward -14.854	 ms 207.9	 loss 0.250096	 5.4s
Ep 237	 reward -14.921	 ms 208.9	 loss 0.225710	 5.3s
Ep 238	 reward -14.896	 ms 208.6	 loss 0.128167	 5.3s
Ep 239	 reward -14.882	 ms 208.3	 loss 0.240418	 5.5s
Ep 240	 reward -15.000	 ms 210.0	 loss 0.435375	 5.4s
Ep 241	 reward -15.786	 ms 221.0	 loss 0.340850	 5.4s
Ep 242	 reward -15.489	 ms 216.8	 loss 0.069555	 5.4s
Ep 243	 reward -15.625	 ms 218.8	 loss 0.076898	 5.2s
