[vali] MWKR norms: LSW=338.1
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-LSW-s302 regimes=['LSW'] updates=1000
Ep 1	 reward -21.218	 ms 297.1	 loss 1.297688	 6.5s
Ep 2	 reward -21.386	 ms 299.4	 loss 1.151854	 6.0s
Ep 3	 reward -21.100	 ms 295.4	 loss 1.232655	 6.7s
Ep 4	 reward -21.268	 ms 297.8	 loss 0.918595	 6.5s
Ep 5	 reward -21.264	 ms 297.7	 loss 0.941587	 6.9s
Ep 6	 reward -21.100	 ms 295.4	 loss 1.076534	 6.4s
Ep 7	 reward -21.229	 ms 297.2	 loss 0.800266	 5.9s
Ep 8	 reward -21.300	 ms 298.2	 loss 0.837671	 6.8s
Ep 9	 reward -21.246	 ms 297.4	 loss 0.810709	 7.1s
Ep 10	 reward -21.232	 ms 297.2	 loss 0.777450	 7.6s
Ep 11	 reward -21.082	 ms 295.1	 loss 0.828058	 7.2s
Ep 12	 reward -21.136	 ms 295.9	 loss 0.677147	 6.8s
Ep 13	 reward -21.107	 ms 295.5	 loss 0.662859	 7.3s
Ep 14	 reward -21.161	 ms 296.2	 loss 0.704832	 8.5s
Ep 15	 reward -21.139	 ms 295.9	 loss 0.530065	 8.3s
Ep 16	 reward -21.057	 ms 294.8	 loss 0.603717	 7.3s
Ep 17	 reward -21.193	 ms 296.7	 loss 0.672639	 7.6s
Ep 18	 reward -21.111	 ms 295.6	 loss 0.550804	 7.2s
Ep 19	 reward -21.164	 ms 296.3	 loss 0.692072	 7.1s
Ep 20	 reward -21.225	 ms 297.1	 loss 0.466292	 8.1s
Ep 21	 reward -21.436	 ms 300.1	 loss 0.450141	 7.7s
Ep 22	 reward -21.279	 ms 297.9	 loss 0.440814	 7.1s
Ep 23	 reward -21.389	 ms 299.4	 loss 0.830329	 7.3s
Ep 24	 reward -21.425	 ms 299.9	 loss 0.393408	 7.1s
[vali @25] rel=0.8549 (best 0.8549)  LSW=289.1
Ep 25	 reward -21.586	 ms 302.2	 loss 0.648283	 11.0s
Ep 26	 reward -21.314	 ms 298.4	 loss 0.505345	 7.3s
Ep 27	 reward -21.343	 ms 298.8	 loss 0.753039	 8.4s
Ep 28	 reward -21.418	 ms 299.9	 loss 0.594342	 8.1s
Ep 29	 reward -21.611	 ms 302.6	 loss 0.545852	 8.3s
Ep 30	 reward -21.711	 ms 303.9	 loss 0.357988	 8.2s
Ep 31	 reward -21.464	 ms 300.5	 loss 0.326810	 7.5s
Ep 32	 reward -21.211	 ms 296.9	 loss 0.707471	 7.2s
Ep 33	 reward -21.368	 ms 299.1	 loss 0.754364	 7.5s
Ep 34	 reward -21.264	 ms 297.7	 loss 0.617946	 6.7s
Ep 35	 reward -21.114	 ms 295.6	 loss 0.410723	 9.1s
Ep 36	 reward -21.318	 ms 298.4	 loss 0.362642	 6.4s
Ep 37	 reward -21.421	 ms 299.9	 loss 0.591417	 7.7s
Ep 38	 reward -21.357	 ms 299.0	 loss 0.476218	 8.6s
