[vali] MWKR norms: SW=278.1
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-SW regimes=['SW'] updates=1000
Ep 83	 reward -15.707	 ms 219.9	 loss 0.295349	 32.3s
Ep 84	 reward -15.889	 ms 222.4	 loss 0.379205	 32.6s
Ep 85	 reward -15.961	 ms 223.4	 loss 0.209659	 32.9s
Ep 86	 reward -15.946	 ms 223.2	 loss 0.315295	 33.8s
Ep 87	 reward -15.793	 ms 221.1	 loss 0.312334	 33.2s
Ep 88	 reward -15.743	 ms 220.4	 loss 0.237391	 31.0s
Ep 89	 reward -15.711	 ms 219.9	 loss 0.268633	 32.5s
Ep 90	 reward -15.739	 ms 220.3	 loss 0.298959	 33.5s
Ep 91	 reward -15.714	 ms 220.0	 loss 0.404928	 32.7s
Ep 92	 reward -15.586	 ms 218.2	 loss 0.266190	 32.9s
Ep 93	 reward -15.679	 ms 219.5	 loss 0.240462	 31.3s
Ep 94	 reward -15.789	 ms 221.1	 loss 0.311941	 33.8s
Ep 95	 reward -15.768	 ms 220.8	 loss 0.291634	 32.6s
Ep 96	 reward -15.689	 ms 219.7	 loss 0.194484	 32.4s
Ep 97	 reward -15.825	 ms 221.6	 loss 0.317704	 32.9s
Ep 98	 reward -15.871	 ms 222.2	 loss 0.228535	 31.7s
Ep 99	 reward -15.575	 ms 218.1	 loss 0.173945	 31.2s
[vali @100] rel=0.7868 (best 0.7819)  SW=218.8
Ep 100	 reward -15.771	 ms 220.8	 loss 0.323841	 60.4s
Ep 101	 reward -15.904	 ms 222.7	 loss 0.419870	 32.1s
Ep 102	 reward -15.868	 ms 222.2	 loss 0.331185	 32.7s
Ep 103	 reward -15.882	 ms 222.3	 loss 0.356366	 33.2s
Ep 104	 reward -15.718	 ms 220.1	 loss 0.301802	 32.7s
Ep 105	 reward -15.929	 ms 223.0	 loss 0.470582	 33.4s
Ep 106	 reward -15.907	 ms 222.7	 loss 0.220997	 33.2s
Ep 107	 reward -15.964	 ms 223.5	 loss 0.427775	 32.4s
Ep 108	 reward -16.036	 ms 224.5	 loss 0.369802	 31.3s
Ep 109	 reward -15.857	 ms 222.0	 loss 0.262639	 32.7s
Ep 110	 reward -15.889	 ms 222.4	 loss 0.370842	 30.9s
Ep 111	 reward -15.725	 ms 220.2	 loss 0.277371	 34.6s
Ep 112	 reward -15.900	 ms 222.6	 loss 0.373616	 35.4s
Ep 113	 reward -15.764	 ms 220.7	 loss 0.388639	 33.6s
Ep 114	 reward -15.796	 ms 221.2	 loss 0.263467	 33.5s
Ep 115	 reward -15.882	 ms 222.3	 loss 0.284237	 34.1s
Ep 116	 reward -15.950	 ms 223.3	 loss 0.421454	 30.7s
Ep 117	 reward -15.811	 ms 221.3	 loss 0.216446	 32.7s
Ep 118	 reward -16.036	 ms 224.5	 loss 0.297238	 34.0s
Ep 119	 reward -15.829	 ms 221.6	 loss 0.313844	 34.4s
Ep 120	 reward -15.668	 ms 219.3	 loss 0.223308	 32.2s
Ep 121	 reward -16.168	 ms 226.3	 loss 0.581131	 33.5s
Ep 122	 reward -16.039	 ms 224.6	 loss 0.362849	 34.1s
Ep 123	 reward -16.182	 ms 226.6	 loss 0.360326	 34.0s
Ep 124	 reward -16.064	 ms 224.9	 loss 0.305290	 32.5s
[vali @125] rel=0.7785 (best 0.7785)  SW=216.5
Ep 125	 reward -16.100	 ms 225.4	 loss 0.316568	 62.6s
Ep 126	 reward -16.125	 ms 225.8	 loss 0.337280	 31.5s
Ep 127	 reward -16.011	 ms 224.2	 loss 0.245702	 34.4s
Ep 128	 reward -16.168	 ms 226.3	 loss 0.377909	 32.8s
Ep 129	 reward -16.114	 ms 225.6	 loss 0.289698	 32.8s
Ep 130	 reward -16.104	 ms 225.4	 loss 0.285339	 33.6s
Ep 131	 reward -15.971	 ms 223.6	 loss 0.322662	 33.3s
Ep 132	 reward -16.021	 ms 224.3	 loss 0.354513	 34.8s
Ep 133	 reward -16.061	 ms 224.8	 loss 0.394170	 33.5s
Ep 134	 reward -16.007	 ms 224.1	 loss 0.281459	 32.3s
Ep 135	 reward -15.996	 ms 223.9	 loss 0.295369	 33.4s
Ep 136	 reward -15.968	 ms 223.6	 loss 0.360171	 34.0s
Ep 137	 reward -16.061	 ms 224.8	 loss 0.268377	 32.0s
Ep 138	 reward -16.036	 ms 224.5	 loss 0.324703	 32.1s
Ep 139	 reward -15.979	 ms 223.7	 loss 0.233617	 33.3s
Ep 140	 reward -15.971	 ms 223.6	 loss 0.375515	 33.0s
Ep 141	 reward -15.879	 ms 222.3	 loss 0.387696	 32.5s
Ep 142	 reward -15.811	 ms 221.3	 loss 0.395342	 31.5s
Ep 143	 reward -15.893	 ms 222.5	 loss 0.323012	 33.1s
Ep 144	 reward -15.893	 ms 222.5	 loss 0.315264	 31.7s
Ep 145	 reward -15.768	 ms 220.8	 loss 0.293786	 33.0s
Ep 146	 reward -15.693	 ms 219.7	 loss 0.214731	 34.2s
Ep 147	 reward -15.739	 ms 220.3	 loss 0.279128	 33.3s
Ep 148	 reward -15.821	 ms 221.5	 loss 0.221310	 32.0s
Ep 149	 reward -15.957	 ms 223.4	 loss 0.288505	 30.1s
[vali @150] rel=0.7839 (best 0.7785)  SW=218.0
Ep 150	 reward -15.804	 ms 221.2	 loss 0.247274	 66.2s
Ep 151	 reward -15.882	 ms 222.3	 loss 0.251516	 31.6s
Ep 152	 reward -15.875	 ms 222.2	 loss 0.175006	 33.4s
Ep 153	 reward -15.821	 ms 221.5	 loss 0.273561	 32.8s
Ep 154	 reward -15.814	 ms 221.4	 loss 0.304452	 33.4s
Ep 155	 reward -15.804	 ms 221.2	 loss 0.366252	 34.1s
Ep 156	 reward -15.621	 ms 218.7	 loss 0.154713	 34.2s
Ep 157	 reward -15.861	 ms 222.1	 loss 0.185209	 31.9s
Ep 158	 reward -15.911	 ms 222.8	 loss 0.256880	 32.4s
Ep 159	 reward -15.804	 ms 221.2	 loss 0.347476	 31.2s
Ep 160	 reward -15.832	 ms 221.7	 loss 0.304243	 33.9s
Ep 161	 reward -16.129	 ms 225.8	 loss 0.620504	 32.8s
Ep 162	 reward -15.879	 ms 222.3	 loss 0.393049	 32.3s
Ep 163	 reward -15.964	 ms 223.5	 loss 0.464520	 30.5s
Ep 164	 reward -15.900	 ms 222.6	 loss 0.391073	 33.1s
Ep 165	 reward -16.004	 ms 224.1	 loss 0.460411	 32.4s
Ep 166	 reward -16.204	 ms 226.8	 loss 0.477385	 34.3s
Ep 167	 reward -16.032	 ms 224.4	 loss 0.393558	 32.1s
Ep 168	 reward -16.146	 ms 226.1	 loss 0.562527	 31.8s
Ep 169	 reward -16.164	 ms 226.3	 loss 0.556825	 31.9s
Ep 170	 reward -15.964	 ms 223.5	 loss 0.429286	 32.8s
Ep 171	 reward -16.018	 ms 224.2	 loss 0.486547	 31.2s
Ep 172	 reward -15.993	 ms 223.9	 loss 0.335784	 32.4s
Ep 173	 reward -16.032	 ms 224.4	 loss 0.293855	 32.4s
Ep 174	 reward -16.032	 ms 224.4	 loss 0.422720	 33.2s
[vali @175] rel=0.7807 (best 0.7785)  SW=217.1
Ep 175	 reward -15.932	 ms 223.1	 loss 0.389479	 59.9s
Ep 176	 reward -16.071	 ms 225.0	 loss 0.317302	 34.2s
Ep 177	 reward -16.139	 ms 225.9	 loss 0.446004	 32.8s
Ep 178	 reward -15.993	 ms 223.9	 loss 0.424584	 31.1s
