[vali] MWKR norms: S=240.4
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-S-s302 regimes=['S'] updates=1000
Ep 1	 reward -14.504	 ms 203.1	 loss 1.448026	 45.1s
Ep 2	 reward -14.525	 ms 203.3	 loss 1.137986	 40.8s
Ep 3	 reward -14.475	 ms 202.7	 loss 1.500546	 37.7s
Ep 4	 reward -14.439	 ms 202.2	 loss 1.318603	 42.1s
Ep 5	 reward -14.400	 ms 201.6	 loss 1.129332	 42.6s
Ep 6	 reward -14.650	 ms 205.1	 loss 1.067598	 43.1s
Ep 7	 reward -14.586	 ms 204.2	 loss 1.063581	 43.9s
Ep 8	 reward -14.639	 ms 204.9	 loss 1.006196	 42.6s
Ep 9	 reward -14.521	 ms 203.3	 loss 0.908692	 40.4s
Ep 10	 reward -14.675	 ms 205.4	 loss 0.925776	 44.1s
Ep 11	 reward -14.543	 ms 203.6	 loss 0.816232	 42.4s
Ep 12	 reward -14.675	 ms 205.4	 loss 0.805438	 42.6s
Ep 13	 reward -14.689	 ms 205.7	 loss 0.628110	 43.3s
Ep 14	 reward -14.511	 ms 203.2	 loss 0.642594	 42.3s
Ep 15	 reward -14.561	 ms 203.8	 loss 0.504510	 45.2s
Ep 16	 reward -14.482	 ms 202.8	 loss 0.436510	 41.8s
Ep 17	 reward -14.450	 ms 202.3	 loss 0.428069	 46.3s
Ep 18	 reward -14.500	 ms 203.0	 loss 0.508824	 44.8s
Ep 19	 reward -14.450	 ms 202.3	 loss 0.517182	 43.3s
Ep 20	 reward -14.636	 ms 204.9	 loss 0.486761	 46.2s
Ep 21	 reward -14.571	 ms 204.0	 loss 0.513985	 44.8s
Ep 22	 reward -14.561	 ms 203.8	 loss 0.382408	 41.5s
Ep 23	 reward -14.621	 ms 204.7	 loss 0.451623	 43.2s
Ep 24	 reward -14.586	 ms 204.2	 loss 0.457483	 43.6s
[vali @25] rel=0.8270 (best 0.8270)  S=198.8
Ep 25	 reward -14.482	 ms 202.8	 loss 0.485533	 79.6s
Ep 26	 reward -14.614	 ms 204.6	 loss 0.456323	 43.3s
Ep 27	 reward -14.582	 ms 204.2	 loss 0.580488	 49.7s
Ep 28	 reward -14.629	 ms 204.8	 loss 0.379865	 42.2s
Ep 29	 reward -14.511	 ms 203.2	 loss 0.393069	 44.4s
Ep 30	 reward -14.596	 ms 204.3	 loss 0.416430	 42.2s
Ep 31	 reward -14.496	 ms 202.9	 loss 0.272431	 46.3s
Ep 32	 reward -14.446	 ms 202.2	 loss 0.427419	 45.4s
Ep 33	 reward -14.521	 ms 203.3	 loss 0.461187	 45.8s
Ep 34	 reward -14.539	 ms 203.6	 loss 0.437553	 47.1s
Ep 35	 reward -14.554	 ms 203.8	 loss 0.306962	 43.9s
Ep 36	 reward -14.639	 ms 204.9	 loss 0.355763	 42.1s
Ep 37	 reward -14.504	 ms 203.1	 loss 0.296291	 37.6s
Ep 38	 reward -14.586	 ms 204.2	 loss 0.492932	 37.5s
Ep 39	 reward -14.575	 ms 204.1	 loss 0.371716	 39.8s
Ep 40	 reward -14.632	 ms 204.8	 loss 0.332326	 36.7s
Ep 41	 reward -14.736	 ms 206.3	 loss 0.317885	 38.4s
Ep 42	 reward -14.714	 ms 206.0	 loss 0.302184	 40.9s
Ep 43	 reward -14.729	 ms 206.2	 loss 0.287518	 38.9s
Ep 44	 reward -14.621	 ms 204.7	 loss 0.238491	 35.1s
Ep 45	 reward -14.686	 ms 205.6	 loss 0.188171	 36.7s
Ep 46	 reward -14.796	 ms 207.2	 loss 0.347710	 38.1s
Ep 47	 reward -14.393	 ms 201.5	 loss 0.205191	 36.8s
Ep 48	 reward -14.521	 ms 203.3	 loss 0.317903	 37.7s
Ep 49	 reward -14.493	 ms 202.9	 loss 0.308157	 35.9s
[vali @50] rel=0.8128 (best 0.8128)  S=195.4
Ep 50	 reward -14.568	 ms 203.9	 loss 0.225863	 70.5s
