[train_family] forcing data_source=FAMILY
[train_family] shaping envelope: delta_mode=min (admissible, tight (the paper's))
[vali] MWKR norms: W=177.7
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-W-third-s302 regimes=['W'] updates=333
Ep 1	 reward -11.775	 ms 164.8	 loss 1.266451	 7.4s
Ep 2	 reward -11.850	 ms 165.9	 loss 1.044897	 6.9s
Ep 3	 reward -11.629	 ms 162.8	 loss 1.188362	 6.9s
Ep 4	 reward -11.757	 ms 164.6	 loss 1.228957	 6.9s
Ep 5	 reward -11.971	 ms 167.6	 loss 0.886837	 6.9s
Ep 6	 reward -11.900	 ms 166.6	 loss 0.910657	 6.8s
Ep 7	 reward -11.889	 ms 166.4	 loss 0.995477	 7.3s
Ep 8	 reward -11.993	 ms 167.9	 loss 0.756815	 8.0s
Ep 9	 reward -11.700	 ms 163.8	 loss 0.573156	 7.7s
Ep 10	 reward -11.654	 ms 163.2	 loss 0.609777	 7.6s
Ep 11	 reward -11.507	 ms 161.1	 loss 0.401756	 7.7s
Ep 12	 reward -11.850	 ms 165.9	 loss 0.587626	 7.7s
Ep 13	 reward -11.646	 ms 163.1	 loss 0.416873	 7.6s
Ep 14	 reward -11.739	 ms 164.3	 loss 0.374416	 7.7s
Ep 15	 reward -11.818	 ms 165.4	 loss 0.331008	 7.8s
Ep 16	 reward -11.846	 ms 165.8	 loss 0.347119	 7.0s
Ep 17	 reward -11.832	 ms 165.7	 loss 0.333699	 6.8s
Ep 18	 reward -11.657	 ms 163.2	 loss 0.257392	 6.8s
Ep 19	 reward -11.779	 ms 164.9	 loss 0.304683	 6.8s
Ep 20	 reward -11.904	 ms 166.7	 loss 0.291356	 6.8s
Ep 21	 reward -11.436	 ms 160.1	 loss 0.399395	 6.9s
Ep 22	 reward -11.557	 ms 161.8	 loss 0.357838	 6.7s
Ep 23	 reward -11.496	 ms 160.9	 loss 0.396887	 7.0s
Ep 24	 reward -11.632	 ms 162.8	 loss 0.363290	 6.9s
[vali @25] rel=0.8880 (best 0.8880)  W=157.8
Ep 25	 reward -11.525	 ms 161.3	 loss 0.251864	 12.0s
Ep 26	 reward -11.664	 ms 163.3	 loss 0.262062	 6.8s
Ep 27	 reward -11.832	 ms 165.7	 loss 0.305127	 6.9s
Ep 28	 reward -11.682	 ms 163.6	 loss 0.228339	 6.9s
Ep 29	 reward -11.475	 ms 160.7	 loss 0.257595	 6.9s
Ep 30	 reward -11.850	 ms 165.9	 loss 0.306139	 7.0s
Ep 31	 reward -11.689	 ms 163.7	 loss 0.214728	 6.9s
