[vali] MWKR norms: W=186.3
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-W-s303 regimes=['W'] updates=1000
Ep 1	 reward -11.575	 ms 162.1	 loss 1.194200	 15.9s
Ep 2	 reward -11.632	 ms 162.8	 loss 0.952826	 15.8s
Ep 3	 reward -11.432	 ms 160.1	 loss 1.116140	 13.6s
Ep 4	 reward -11.400	 ms 159.6	 loss 1.321113	 12.6s
Ep 5	 reward -11.436	 ms 160.1	 loss 1.107027	 13.6s
Ep 6	 reward -11.396	 ms 159.6	 loss 0.800487	 9.9s
Ep 7	 reward -11.611	 ms 162.6	 loss 0.753832	 14.8s
Ep 8	 reward -11.450	 ms 160.3	 loss 0.666712	 11.8s
Ep 9	 reward -11.789	 ms 165.1	 loss 0.710239	 12.1s
Ep 10	 reward -11.532	 ms 161.4	 loss 0.524755	 14.1s
Ep 11	 reward -11.414	 ms 159.8	 loss 0.389505	 15.2s
Ep 12	 reward -11.496	 ms 160.9	 loss 0.317790	 15.5s
Ep 13	 reward -11.550	 ms 161.7	 loss 0.378580	 14.5s
Ep 14	 reward -11.668	 ms 163.3	 loss 0.308284	 17.0s
Ep 15	 reward -11.546	 ms 161.7	 loss 0.253893	 14.7s
Ep 16	 reward -11.632	 ms 162.8	 loss 0.190452	 16.8s
Ep 17	 reward -11.504	 ms 161.1	 loss 0.207775	 15.1s
Ep 18	 reward -11.589	 ms 162.2	 loss 0.191283	 16.7s
Ep 19	 reward -11.400	 ms 159.6	 loss 0.166667	 13.6s
Ep 20	 reward -11.600	 ms 162.4	 loss 0.131506	 15.2s
Ep 21	 reward -11.468	 ms 160.6	 loss 0.286566	 13.0s
Ep 22	 reward -11.614	 ms 162.6	 loss 0.203152	 14.4s
Ep 23	 reward -11.889	 ms 166.4	 loss 0.224399	 13.3s
Ep 24	 reward -11.614	 ms 162.6	 loss 0.306483	 14.0s
[vali @25] rel=0.9461 (best 0.9461)  W=176.2
Ep 25	 reward -11.761	 ms 164.7	 loss 0.128950	 23.3s
Ep 26	 reward -11.807	 ms 165.3	 loss 0.284922	 15.2s
Ep 27	 reward -11.879	 ms 166.3	 loss 0.166240	 15.2s
Ep 28	 reward -11.600	 ms 162.4	 loss 0.230240	 14.4s
Ep 29	 reward -11.468	 ms 160.6	 loss 0.224952	 14.9s
Ep 30	 reward -11.518	 ms 161.2	 loss 0.187472	 16.0s
Ep 31	 reward -11.704	 ms 163.8	 loss 0.287376	 13.8s
Ep 32	 reward -11.636	 ms 162.9	 loss 0.377404	 16.6s
Ep 33	 reward -11.736	 ms 164.3	 loss 0.159826	 13.9s
Ep 34	 reward -11.696	 ms 163.8	 loss 0.189018	 15.2s
Ep 35	 reward -11.768	 ms 164.8	 loss 0.080492	 14.0s
Ep 36	 reward -11.804	 ms 165.2	 loss 0.014085	 17.9s
Ep 37	 reward -11.654	 ms 163.2	 loss 0.200893	 15.2s
Ep 38	 reward -11.493	 ms 160.9	 loss 0.144592	 18.5s
Ep 39	 reward -11.425	 ms 159.9	 loss 0.215075	 15.6s
Ep 40	 reward -11.775	 ms 164.8	 loss 0.045970	 16.4s
Ep 41	 reward -11.721	 ms 164.1	 loss 0.152363	 15.3s
Ep 42	 reward -11.621	 ms 162.7	 loss 0.091077	 14.9s
Ep 43	 reward -11.739	 ms 164.3	 loss 0.158191	 15.0s
Ep 44	 reward -11.732	 ms 164.2	 loss 0.197146	 16.8s
Ep 45	 reward -11.493	 ms 160.9	 loss 0.068340	 14.5s
Ep 46	 reward -11.686	 ms 163.6	 loss 0.188115	 15.6s
