[vali] MWKR norms: L=226.9
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-L regimes=['L'] updates=1000
Ep 83	 reward -15.546	 ms 217.7	 loss 0.135221	 26.5s
Ep 84	 reward -15.450	 ms 216.3	 loss 0.176300	 26.1s
Ep 85	 reward -15.418	 ms 215.8	 loss 0.024907	 26.9s
Ep 86	 reward -15.371	 ms 215.2	 loss -0.009094	 27.3s
Ep 87	 reward -15.518	 ms 217.2	 loss 0.008285	 29.1s
Ep 88	 reward -15.479	 ms 216.7	 loss -0.060480	 28.6s
Ep 89	 reward -15.521	 ms 217.3	 loss 0.170416	 30.2s
Ep 90	 reward -15.404	 ms 215.7	 loss -0.004618	 26.7s
Ep 91	 reward -15.446	 ms 216.2	 loss -0.068294	 27.0s
Ep 92	 reward -15.371	 ms 215.2	 loss 0.093617	 26.0s
Ep 93	 reward -15.439	 ms 216.2	 loss -0.028540	 26.6s
Ep 94	 reward -15.514	 ms 217.2	 loss 0.140162	 28.2s
Ep 95	 reward -15.329	 ms 214.6	 loss -0.003246	 27.3s
Ep 96	 reward -15.318	 ms 214.4	 loss -0.051742	 27.0s
Ep 97	 reward -15.321	 ms 214.5	 loss 0.070158	 26.5s
Ep 98	 reward -15.318	 ms 214.4	 loss 0.189942	 27.2s
Ep 99	 reward -15.429	 ms 216.0	 loss 0.018407	 25.4s
[vali @100] rel=0.9357 (best 0.9357)  L=212.3
Ep 100	 reward -15.400	 ms 215.6	 loss 0.037900	 50.4s
Ep 101	 reward -15.471	 ms 216.6	 loss 0.187111	 29.0s
Ep 102	 reward -15.593	 ms 218.3	 loss 0.068412	 27.7s
Ep 103	 reward -15.618	 ms 218.7	 loss 0.221257	 26.4s
Ep 104	 reward -15.679	 ms 219.5	 loss 0.119791	 26.5s
Ep 105	 reward -15.632	 ms 218.8	 loss 0.107343	 25.4s
Ep 106	 reward -15.607	 ms 218.5	 loss 0.027123	 26.0s
Ep 107	 reward -15.471	 ms 216.6	 loss 0.197671	 27.8s
Ep 108	 reward -15.557	 ms 217.8	 loss 0.155524	 26.3s
Ep 109	 reward -15.457	 ms 216.4	 loss 0.164568	 28.7s
Ep 110	 reward -15.496	 ms 216.9	 loss 0.194640	 26.5s
Ep 111	 reward -15.514	 ms 217.2	 loss 0.191417	 26.2s
Ep 112	 reward -15.507	 ms 217.1	 loss 0.202721	 27.5s
Ep 113	 reward -15.482	 ms 216.8	 loss 0.143857	 28.2s
Ep 114	 reward -15.536	 ms 217.5	 loss 0.105624	 27.8s
Ep 115	 reward -15.443	 ms 216.2	 loss 0.174810	 27.7s
Ep 116	 reward -15.489	 ms 216.8	 loss 0.186840	 26.5s
Ep 117	 reward -15.600	 ms 218.4	 loss 0.169633	 25.8s
Ep 118	 reward -15.543	 ms 217.6	 loss 0.205410	 28.1s
Ep 119	 reward -15.618	 ms 218.7	 loss 0.274084	 27.6s
Ep 120	 reward -15.511	 ms 217.2	 loss 0.237370	 27.4s
Ep 121	 reward -15.336	 ms 214.7	 loss 0.001248	 28.4s
Ep 122	 reward -15.257	 ms 213.6	 loss 0.047072	 27.8s
Ep 123	 reward -15.379	 ms 215.3	 loss 0.034473	 27.9s
Ep 124	 reward -15.343	 ms 214.8	 loss 0.042869	 26.8s
[vali @125] rel=0.9394 (best 0.9357)  L=213.2
Ep 125	 reward -15.282	 ms 213.9	 loss -0.045371	 50.9s
Ep 126	 reward -15.264	 ms 213.7	 loss -0.019619	 27.2s
Ep 127	 reward -15.236	 ms 213.3	 loss -0.045137	 24.9s
