[train_family] forcing data_source=FAMILY
[train_family] shaping envelope: delta_mode=min (admissible, tight (the paper's))
[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7
[model] params total=71838  film=39052 (54.36%)
[train_family] model=10x25+family+joint-nlsw-s302 regimes=['N', 'L', 'S', 'W'] updates=2000
Ep 1	 reward -13.468	 ms 188.6	 loss 0.918710	 7.3s
Ep 2	 reward -13.504	 ms 189.1	 loss 0.724290	 6.7s
Ep 3	 reward -13.418	 ms 187.8	 loss 0.794824	 6.6s
Ep 4	 reward -13.461	 ms 188.4	 loss 0.871211	 6.6s
Ep 5	 reward -13.521	 ms 189.3	 loss 0.823501	 6.8s
Ep 6	 reward -13.393	 ms 187.5	 loss 0.650345	 6.6s
Ep 7	 reward -13.475	 ms 188.7	 loss 0.513478	 6.8s
Ep 8	 reward -13.368	 ms 187.2	 loss 0.474464	 6.7s
Ep 9	 reward -13.518	 ms 189.2	 loss 0.458694	 6.7s
Ep 10	 reward -13.300	 ms 186.2	 loss 0.448816	 6.7s
Ep 11	 reward -13.461	 ms 188.4	 loss 0.220245	 6.7s
Ep 12	 reward -13.482	 ms 188.8	 loss 0.354777	 6.8s
Ep 13	 reward -13.325	 ms 186.6	 loss 0.240828	 6.7s
Ep 14	 reward -13.311	 ms 186.3	 loss 0.228126	 6.6s
Ep 15	 reward -13.461	 ms 188.4	 loss 0.181127	 6.7s
Ep 16	 reward -13.414	 ms 187.8	 loss 0.121343	 6.8s
Ep 17	 reward -13.350	 ms 186.9	 loss 0.055895	 6.8s
Ep 18	 reward -13.336	 ms 186.7	 loss 0.185178	 6.8s
Ep 19	 reward -13.418	 ms 187.8	 loss 0.157159	 6.6s
Ep 20	 reward -13.418	 ms 187.8	 loss 0.172342	 6.8s
Ep 21	 reward -13.132	 ms 183.8	 loss 0.318890	 6.7s
Ep 22	 reward -13.307	 ms 186.3	 loss 0.198924	 6.9s
Ep 23	 reward -13.375	 ms 187.2	 loss 0.209393	 6.7s
Ep 24	 reward -13.425	 ms 187.9	 loss 0.136865	 6.9s
[vali @25] rel=0.8864 (best 0.8864)  N=135.9  L=220.9  S=197.9  W=153.3
Ep 25	 reward -13.250	 ms 185.5	 loss 0.154897	 25.9s
Ep 26	 reward -13.168	 ms 184.3	 loss 0.248637	 6.7s
Ep 27	 reward -13.386	 ms 187.4	 loss 0.224268	 6.8s
Ep 28	 reward -13.368	 ms 187.2	 loss 0.103032	 6.7s
Ep 29	 reward -13.464	 ms 188.5	 loss 0.311273	 6.6s
Ep 30	 reward -13.318	 ms 186.4	 loss 0.169714	 6.7s
Ep 31	 reward -13.343	 ms 186.8	 loss 0.013871	 6.9s
Ep 32	 reward -13.193	 ms 184.7	 loss 0.137585	 6.8s
Ep 33	 reward -13.286	 ms 186.0	 loss 0.042133	 6.7s
Ep 34	 reward -13.150	 ms 184.1	 loss 0.080053	 6.7s
Ep 35	 reward -13.271	 ms 185.8	 loss 0.128910	 6.7s
Ep 36	 reward -13.343	 ms 186.8	 loss 0.061331	 6.7s
Ep 37	 reward -13.086	 ms 183.2	 loss 0.018649	 6.8s
Ep 38	 reward -13.089	 ms 183.2	 loss 0.103932	 6.7s
Ep 39	 reward -13.050	 ms 182.7	 loss 0.146844	 6.7s
Ep 40	 reward -13.111	 ms 183.6	 loss 0.148142	 6.8s
Ep 41	 reward -13.036	 ms 182.5	 loss 0.179206	 6.8s
Ep 42	 reward -12.918	 ms 180.8	 loss 0.168774	 6.7s
Ep 43	 reward -12.861	 ms 180.1	 loss 0.174273	 6.7s
Ep 44	 reward -12.811	 ms 179.3	 loss 0.075038	 6.8s
Ep 45	 reward -12.861	 ms 180.1	 loss 0.024978	 6.8s
Ep 46	 reward -12.875	 ms 180.2	 loss 0.158720	 6.7s
Ep 47	 reward -12.750	 ms 178.5	 loss 0.162425	 6.8s
Ep 48	 reward -12.857	 ms 180.0	 loss 0.130117	 6.9s
Ep 49	 reward -12.754	 ms 178.6	 loss 0.116868	 6.7s
[vali @50] rel=0.8607 (best 0.8607)  N=132.8  L=212.9  S=192.7  W=148.8
Ep 50	 reward -12.757	 ms 178.6	 loss 0.125624	 26.0s
Ep 51	 reward -12.871	 ms 180.2	 loss 0.150788	 6.7s
Ep 52	 reward -12.839	 ms 179.8	 loss 0.151734	 6.6s
