[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7  LS=304.4  LW=243.4
[model] params total=71838  film=39052 (54.36%)
[train_family] model=10x25+family+joint-v1-s302 regimes=['N', 'L', 'S', 'W', 'LS', 'LW'] updates=2000
Ep 79	 reward -14.300	 ms 200.2	 loss 0.083393	 9.3s
Ep 80	 reward -14.371	 ms 201.2	 loss 0.028663	 8.5s
Ep 81	 reward -14.504	 ms 203.1	 loss 0.288376	 8.9s
Ep 82	 reward -14.446	 ms 202.2	 loss 0.214894	 8.8s
Ep 83	 reward -14.571	 ms 204.0	 loss 0.276114	 8.1s
Ep 84	 reward -14.568	 ms 203.9	 loss 0.322005	 8.6s
Ep 85	 reward -14.514	 ms 203.2	 loss 0.077912	 9.1s
Ep 86	 reward -14.464	 ms 202.5	 loss 0.322291	 8.8s
Ep 87	 reward -14.496	 ms 202.9	 loss 0.254943	 9.2s
Ep 88	 reward -14.604	 ms 204.4	 loss 0.282290	 10.3s
Ep 89	 reward -14.557	 ms 203.8	 loss 0.221041	 9.3s
Ep 90	 reward -14.404	 ms 201.7	 loss 0.229362	 9.2s
Ep 91	 reward -14.411	 ms 201.8	 loss 0.072286	 9.7s
Ep 92	 reward -14.493	 ms 202.9	 loss 0.284711	 9.9s
Ep 93	 reward -14.450	 ms 202.3	 loss 0.281827	 9.2s
Ep 94	 reward -14.404	 ms 201.7	 loss 0.299389	 9.2s
Ep 95	 reward -14.407	 ms 201.7	 loss 0.067908	 9.7s
Ep 96	 reward -14.454	 ms 202.3	 loss 0.039441	 9.2s
Ep 97	 reward -14.496	 ms 202.9	 loss 0.161081	 9.0s
Ep 98	 reward -14.414	 ms 201.8	 loss 0.193977	 9.1s
Ep 99	 reward -14.425	 ms 201.9	 loss 0.168543	 9.0s
[vali @100] rel=0.8708 (best 0.8693)  N=129.9  L=212.9  S=192.3  W=148.3  LS=269.8  LW=223.6
Ep 100	 reward -14.407	 ms 201.7	 loss 0.267499	 44.5s
Ep 101	 reward -14.607	 ms 204.5	 loss 0.248880	 9.6s
Ep 102	 reward -14.543	 ms 203.6	 loss 0.123882	 9.1s
Ep 103	 reward -14.589	 ms 204.2	 loss 0.199259	 8.9s
Ep 104	 reward -14.579	 ms 204.1	 loss 0.171990	 8.9s
Ep 105	 reward -14.575	 ms 204.1	 loss 0.210115	 9.2s
Ep 106	 reward -14.425	 ms 201.9	 loss 0.089396	 8.5s
Ep 107	 reward -14.539	 ms 203.6	 loss 0.164292	 8.5s
Ep 108	 reward -14.621	 ms 204.7	 loss 0.193262	 8.8s
Ep 109	 reward -14.339	 ms 200.8	 loss 0.166701	 9.1s
Ep 110	 reward -14.443	 ms 202.2	 loss 0.195474	 9.0s
Ep 111	 reward -14.632	 ms 204.8	 loss 0.214175	 9.9s
Ep 112	 reward -14.475	 ms 202.7	 loss 0.133589	 9.2s
Ep 113	 reward -14.500	 ms 203.0	 loss 0.136836	 9.3s
Ep 114	 reward -14.404	 ms 201.7	 loss 0.080818	 9.4s
Ep 115	 reward -14.554	 ms 203.8	 loss 0.211375	 9.5s
Ep 116	 reward -14.518	 ms 203.2	 loss 0.095955	 9.1s
Ep 117	 reward -14.486	 ms 202.8	 loss 0.245063	 9.6s
Ep 118	 reward -14.468	 ms 202.6	 loss 0.093265	 9.6s
Ep 119	 reward -14.518	 ms 203.2	 loss 0.191481	 9.4s
Ep 120	 reward -14.539	 ms 203.6	 loss 0.165938	 9.2s
Ep 121	 reward -14.739	 ms 206.3	 loss 0.147533	 9.4s
Ep 122	 reward -14.804	 ms 207.2	 loss 0.089326	 9.2s
Ep 123	 reward -14.725	 ms 206.2	 loss 0.123423	 8.7s
Ep 124	 reward -14.682	 ms 205.6	 loss 0.115208	 9.2s
[vali @125] rel=0.8716 (best 0.8693)  N=130.2  L=211.8  S=193.3  W=148.3  LS=269.8  LW=224.2
Ep 125	 reward -14.736	 ms 206.3	 loss 0.081198	 42.1s
Ep 126	 reward -14.664	 ms 205.3	 loss 0.061434	 8.8s
Ep 127	 reward -14.729	 ms 206.2	 loss 0.145524	 9.0s
Ep 128	 reward -14.689	 ms 205.7	 loss 0.118157	 8.2s
