[train_family] shaping envelope: delta_mode=max (INADMISSIBLE, tight)
[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7  LS=304.4  LW=243.4
[model] params total=71838  film=39052 (54.36%)
[train_family] model=10x25+family+joint-deltamax-s303 regimes=['N', 'L', 'S', 'W', 'LS', 'LW'] updates=2000
Ep 1	 reward -15.050	 ms 210.7	 loss 0.720171	 10.8s
Ep 2	 reward -15.154	 ms 212.2	 loss 0.673886	 9.6s
Ep 3	 reward -14.896	 ms 208.6	 loss 0.606850	 10.0s
Ep 4	 reward -15.032	 ms 210.4	 loss 0.525411	 9.7s
Ep 5	 reward -14.946	 ms 209.2	 loss 0.496819	 9.6s
Ep 6	 reward -14.936	 ms 209.1	 loss 0.547606	 10.1s
Ep 7	 reward -15.129	 ms 211.8	 loss 0.437163	 9.9s
Ep 8	 reward -14.986	 ms 209.8	 loss 0.366921	 10.1s
Ep 9	 reward -14.900	 ms 208.6	 loss 0.347364	 10.3s
Ep 10	 reward -14.961	 ms 209.4	 loss 0.308314	 9.9s
Ep 11	 reward -14.886	 ms 208.4	 loss 0.334760	 10.3s
Ep 12	 reward -14.954	 ms 209.3	 loss 0.247063	 9.9s
Ep 13	 reward -15.000	 ms 210.0	 loss 0.312921	 9.3s
Ep 14	 reward -15.011	 ms 210.2	 loss 0.198050	 9.3s
Ep 15	 reward -15.000	 ms 210.0	 loss 0.218042	 9.2s
Ep 16	 reward -14.975	 ms 209.7	 loss 0.193678	 8.8s
Ep 17	 reward -15.214	 ms 213.0	 loss 0.278312	 8.8s
Ep 18	 reward -15.046	 ms 210.7	 loss 0.145620	 9.4s
Ep 19	 reward -15.232	 ms 213.2	 loss 0.241192	 9.4s
Ep 20	 reward -15.132	 ms 211.8	 loss 0.193371	 9.0s
Ep 21	 reward -15.236	 ms 213.3	 loss 0.432357	 8.8s
Ep 22	 reward -15.232	 ms 213.2	 loss 0.383589	 8.7s
Ep 23	 reward -15.143	 ms 212.0	 loss 0.346848	 8.7s
Ep 24	 reward -15.018	 ms 210.2	 loss 0.251497	 8.7s
[vali @25] rel=0.9256 (best 0.9256)  N=142.3  L=221.9  S=203.6  W=162.9  LS=277.9  LW=236.5
Ep 25	 reward -15.157	 ms 212.2	 loss 0.352827	 46.1s
Ep 26	 reward -15.100	 ms 211.4	 loss 0.150636	 10.6s
Ep 27	 reward -15.164	 ms 212.3	 loss 0.127063	 10.6s
Ep 28	 reward -15.232	 ms 213.2	 loss 0.121372	 10.4s
Ep 29	 reward -14.993	 ms 209.9	 loss 0.245257	 11.2s
Ep 30	 reward -15.182	 ms 212.6	 loss 0.102728	 10.0s
Ep 31	 reward -15.161	 ms 212.2	 loss 0.333195	 10.4s
Ep 32	 reward -15.096	 ms 211.3	 loss 0.031527	 10.5s
Ep 33	 reward -15.111	 ms 211.6	 loss 0.078123	 11.1s
Ep 34	 reward -15.307	 ms 214.3	 loss 0.199715	 10.9s
Ep 35	 reward -15.032	 ms 210.4	 loss 0.163395	 10.6s
Ep 36	 reward -15.175	 ms 212.4	 loss 0.072757	 10.6s
Ep 37	 reward -15.136	 ms 211.9	 loss 0.152857	 11.2s
Ep 38	 reward -15.154	 ms 212.2	 loss 0.115026	 10.5s
Ep 39	 reward -15.211	 ms 212.9	 loss 0.139761	 10.2s
Ep 40	 reward -15.107	 ms 211.5	 loss 0.164617	 10.4s
Ep 41	 reward -14.996	 ms 209.9	 loss 0.264803	 10.1s
Ep 42	 reward -15.018	 ms 210.2	 loss 0.177767	 10.0s
Ep 43	 reward -14.954	 ms 209.3	 loss 0.154064	 10.4s
