[train_family] shaping envelope: delta_mode=max (INADMISSIBLE, tight)
[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7  LS=304.4  LW=243.4
[model] params total=71838  film=39052 (54.36%)
[train_family] model=10x25+family+joint-deltamax-s302 regimes=['N', 'L', 'S', 'W', 'LS', 'LW'] updates=2000
Ep 1	 reward -15.432	 ms 216.1	 loss 0.948400	 10.4s
Ep 2	 reward -15.450	 ms 216.3	 loss 0.494366	 9.0s
Ep 3	 reward -15.221	 ms 213.1	 loss 0.680549	 9.8s
Ep 4	 reward -15.529	 ms 217.4	 loss 0.822200	 9.6s
Ep 5	 reward -15.504	 ms 217.1	 loss 0.812605	 9.7s
Ep 6	 reward -15.250	 ms 213.5	 loss 0.887810	 9.9s
Ep 7	 reward -15.557	 ms 217.8	 loss 0.770579	 10.1s
Ep 8	 reward -15.357	 ms 215.0	 loss 0.727935	 10.0s
Ep 9	 reward -15.454	 ms 216.3	 loss 0.655409	 9.7s
Ep 10	 reward -15.221	 ms 213.1	 loss 0.612778	 10.5s
Ep 11	 reward -15.329	 ms 214.6	 loss 0.501214	 10.0s
Ep 12	 reward -15.464	 ms 216.5	 loss 0.423426	 10.2s
Ep 13	 reward -15.386	 ms 215.4	 loss 0.395975	 9.8s
Ep 14	 reward -15.539	 ms 217.6	 loss 0.318777	 9.7s
Ep 15	 reward -15.539	 ms 217.6	 loss 0.352825	 9.8s
Ep 16	 reward -15.371	 ms 215.2	 loss 0.452386	 9.4s
Ep 17	 reward -15.514	 ms 217.2	 loss 0.389129	 9.4s
Ep 18	 reward -15.307	 ms 214.3	 loss 0.399551	 8.7s
Ep 19	 reward -15.407	 ms 215.7	 loss 0.178852	 9.8s
Ep 20	 reward -15.379	 ms 215.3	 loss 0.302469	 9.1s
Ep 21	 reward -15.271	 ms 213.8	 loss 0.358225	 9.4s
Ep 22	 reward -15.229	 ms 213.2	 loss 0.493581	 8.8s
Ep 23	 reward -15.357	 ms 215.0	 loss 0.487877	 8.7s
Ep 24	 reward -15.382	 ms 215.3	 loss 0.344221	 9.1s
[vali @25] rel=0.8813 (best 0.8813)  N=132.6  L=218.0  S=192.1  W=149.9  LS=270.9  LW=226.4
Ep 25	 reward -15.279	 ms 213.9	 loss 0.503569	 41.8s
Ep 26	 reward -14.954	 ms 209.3	 loss 0.371877	 9.6s
Ep 27	 reward -15.325	 ms 214.6	 loss 0.487320	 10.2s
Ep 28	 reward -15.221	 ms 213.1	 loss 0.137907	 10.2s
Ep 29	 reward -15.300	 ms 214.2	 loss 0.322408	 10.3s
Ep 30	 reward -14.996	 ms 209.9	 loss 0.447049	 10.4s
Ep 31	 reward -15.100	 ms 211.4	 loss 0.149380	 10.7s
Ep 32	 reward -15.164	 ms 212.3	 loss 0.390500	 10.6s
Ep 33	 reward -15.125	 ms 211.8	 loss 0.302299	 10.3s
Ep 34	 reward -15.075	 ms 211.1	 loss 0.429586	 10.5s
Ep 35	 reward -15.104	 ms 211.4	 loss 0.460340	 11.0s
Ep 36	 reward -15.154	 ms 212.2	 loss 0.405696	 11.1s
Ep 37	 reward -15.129	 ms 211.8	 loss 0.401616	 10.4s
Ep 38	 reward -14.975	 ms 209.7	 loss 0.403434	 10.3s
Ep 39	 reward -15.175	 ms 212.4	 loss 0.259859	 11.1s
Ep 40	 reward -14.982	 ms 209.8	 loss 0.323200	 10.6s
Ep 41	 reward -14.854	 ms 207.9	 loss 0.416345	 10.3s
Ep 42	 reward -14.793	 ms 207.1	 loss 0.473311	 10.3s
Ep 43	 reward -14.811	 ms 207.3	 loss 0.273751	 9.8s
Ep 44	 reward -14.896	 ms 208.6	 loss 0.135794	 10.2s
Ep 45	 reward -14.800	 ms 207.2	 loss 0.143823	 10.4s
Ep 46	 reward -14.871	 ms 208.2	 loss 0.421277	 10.1s
Ep 47	 reward -14.832	 ms 207.7	 loss 0.272345	 10.4s
Ep 48	 reward -14.679	 ms 205.5	 loss 0.252633	 9.4s
Ep 49	 reward -14.732	 ms 206.2	 loss 0.299185	 9.7s
[vali @50] rel=0.8756 (best 0.8756)  N=132.8  L=211.7  S=193.2  W=153.8  LS=268.1  LW=220.4
Ep 50	 reward -14.871	 ms 208.2	 loss 0.326346	 50.0s
Ep 51	 reward -14.836	 ms 207.7	 loss 0.082840	 10.3s
Ep 52	 reward -14.743	 ms 206.4	 loss 0.295963	 9.9s
Ep 53	 reward -14.968	 ms 209.6	 loss 0.141791	 10.7s
Ep 54	 reward -14.650	 ms 205.1	 loss 0.360501	 10.8s
Ep 55	 reward -14.629	 ms 204.8	 loss 0.248476	 11.2s
Ep 56	 reward -14.818	 ms 207.4	 loss 0.287097	 10.6s
Ep 57	 reward -14.793	 ms 207.1	 loss 0.310058	 10.0s
Ep 58	 reward -14.736	 ms 206.3	 loss 0.133911	 10.5s
Ep 59	 reward -14.739	 ms 206.3	 loss 0.234771	 10.0s
Ep 60	 reward -14.811	 ms 207.3	 loss 0.098078	 10.7s
Ep 61	 reward -14.164	 ms 198.3	 loss 0.177496	 10.5s
Ep 62	 reward -14.350	 ms 200.9	 loss 0.206620	 10.8s
Ep 63	 reward -14.296	 ms 200.2	 loss 0.064704	 10.4s
Ep 64	 reward -14.279	 ms 199.9	 loss 0.085979	 10.8s
Ep 65	 reward -14.239	 ms 199.3	 loss 0.113213	 10.8s
Ep 66	 reward -14.275	 ms 199.8	 loss 0.150045	 10.4s
Ep 67	 reward -14.182	 ms 198.6	 loss 0.032021	 10.2s
Ep 68	 reward -14.289	 ms 200.1	 loss 0.048379	 10.5s
Ep 69	 reward -14.211	 ms 198.9	 loss 0.131603	 10.4s
Ep 70	 reward -14.200	 ms 198.8	 loss -0.005629	 10.1s
Ep 71	 reward -14.200	 ms 198.8	 loss 0.073756	 10.8s
Ep 72	 reward -14.375	 ms 201.2	 loss 0.130181	 10.1s
Ep 73	 reward -14.261	 ms 199.7	 loss 0.085338	 10.0s
Ep 74	 reward -14.293	 ms 200.1	 loss 0.080105	 9.8s
[vali @75] rel=0.8722 (best 0.8722)  N=130.9  L=211.2  S=191.7  W=152.8  LS=269.6  LW=220.5
Ep 75	 reward -14.350	 ms 200.9	 loss 0.028980	 49.2s
Ep 76	 reward -14.282	 ms 199.9	 loss 0.017743	 10.1s
Ep 77	 reward -14.275	 ms 199.8	 loss -0.005982	 10.1s
Ep 78	 reward -14.132	 ms 197.8	 loss 0.101149	 10.8s
Ep 79	 reward -14.282	 ms 199.9	 loss 0.052056	 10.5s
Ep 80	 reward -14.271	 ms 199.8	 loss 0.085160	 10.9s
Ep 81	 reward -14.479	 ms 202.7	 loss 0.171846	 10.8s
Ep 82	 reward -14.304	 ms 200.2	 loss 0.252813	 10.2s
Ep 83	 reward -14.439	 ms 202.2	 loss 0.250627	 10.1s
Ep 84	 reward -14.296	 ms 200.2	 loss 0.188891	 10.3s
Ep 85	 reward -14.368	 ms 201.2	 loss 0.166046	 10.7s
Ep 86	 reward -14.411	 ms 201.8	 loss 0.329716	 10.7s
Ep 87	 reward -14.268	 ms 199.8	 loss 0.264453	 10.5s
Ep 88	 reward -14.511	 ms 203.2	 loss 0.158028	 11.0s
Ep 89	 reward -14.293	 ms 200.1	 loss 0.256452	 10.6s
Ep 90	 reward -14.279	 ms 199.9	 loss 0.175107	 11.2s
Ep 91	 reward -14.321	 ms 200.5	 loss 0.159557	 10.0s
Ep 92	 reward -14.468	 ms 202.6	 loss 0.343157	 10.0s
Ep 93	 reward -14.371	 ms 201.2	 loss 0.066743	 10.4s
Ep 94	 reward -14.386	 ms 201.4	 loss 0.153910	 10.5s
Ep 95	 reward -14.332	 ms 200.7	 loss 0.020859	 10.1s
Ep 96	 reward -14.382	 ms 201.3	 loss 0.123319	 10.5s
Ep 97	 reward -14.450	 ms 202.3	 loss 0.252002	 10.3s
Ep 98	 reward -14.336	 ms 200.7	 loss 0.182556	 10.4s
Ep 99	 reward -14.404	 ms 201.7	 loss 0.063853	 10.3s
[vali @100] rel=0.8701 (best 0.8701)  N=130.2  L=211.8  S=192.2  W=150.4  LS=268.4  LW=221.6
Ep 100	 reward -14.346	 ms 200.8	 loss 0.251392	 49.2s
Ep 101	 reward -14.525	 ms 203.3	 loss 0.172751	 9.8s
Ep 102	 reward -14.450	 ms 202.3	 loss 0.180630	 10.0s
Ep 103	 reward -14.464	 ms 202.5	 loss 0.324780	 10.6s
Ep 104	 reward -14.671	 ms 205.4	 loss 0.163959	 10.8s
Ep 105	 reward -14.493	 ms 202.9	 loss 0.173819	 10.6s
Ep 106	 reward -14.421	 ms 201.9	 loss 0.299839	 10.7s
Ep 107	 reward -14.400	 ms 201.6	 loss 0.077570	 10.7s
Ep 108	 reward -14.511	 ms 203.2	 loss 0.393382	 10.2s
Ep 109	 reward -14.439	 ms 202.2	 loss 0.087287	 10.4s
Ep 110	 reward -14.454	 ms 202.3	 loss 0.125074	 10.7s
Ep 111	 reward -14.486	 ms 202.8	 loss 0.054555	 11.0s
Ep 112	 reward -14.450	 ms 202.3	 loss 0.200959	 10.3s
Ep 113	 reward -14.486	 ms 202.8	 loss 0.051624	 10.7s
Ep 114	 reward -14.407	 ms 201.7	 loss 0.058071	 10.3s
Ep 115	 reward -14.525	 ms 203.3	 loss 0.082820	 10.8s
Ep 116	 reward -14.539	 ms 203.6	 loss 0.149084	 10.0s
Ep 117	 reward -14.504	 ms 203.1	 loss 0.225969	 10.5s
Ep 118	 reward -14.368	 ms 201.2	 loss 0.070564	 10.1s
Ep 119	 reward -14.571	 ms 204.0	 loss 0.188891	 10.8s
Ep 120	 reward -14.436	 ms 202.1	 loss 0.133626	 10.0s
Ep 121	 reward -14.736	 ms 206.3	 loss 0.186674	 10.9s
Ep 122	 reward -14.732	 ms 206.2	 loss 0.262020	 10.5s
Ep 123	 reward -14.682	 ms 205.6	 loss 0.238223	 10.1s
Ep 124	 reward -14.746	 ms 206.4	 loss 0.185302	 9.9s
[vali @125] rel=0.8691 (best 0.8691)  N=130.5  L=211.8  S=192.0  W=150.3  LS=268.1  LW=220.3
Ep 125	 reward -14.854	 ms 207.9	 loss 0.165767	 48.5s
Ep 126	 reward -14.750	 ms 206.5	 loss 0.166758	 10.7s
Ep 127	 reward -14.614	 ms 204.6	 loss 0.103049	 10.1s
Ep 128	 reward -14.782	 ms 206.9	 loss 0.074856	 10.8s
Ep 129	 reward -14.796	 ms 207.2	 loss 0.058120	 10.9s
Ep 130	 reward -14.714	 ms 206.0	 loss 0.041284	 10.6s
Ep 131	 reward -14.664	 ms 205.3	 loss 0.095882	 10.6s
Ep 132	 reward -14.714	 ms 206.0	 loss 0.120743	 10.6s
Ep 133	 reward -14.868	 ms 208.2	 loss 0.054411	 10.1s
Ep 134	 reward -14.711	 ms 205.9	 loss 0.072455	 10.9s
Ep 135	 reward -14.729	 ms 206.2	 loss 0.112979	 11.0s
Ep 136	 reward -14.632	 ms 204.8	 loss 0.098954	 10.5s
Ep 137	 reward -14.646	 ms 205.1	 loss 0.122297	 10.6s
Ep 138	 reward -14.754	 ms 206.6	 loss 0.116908	 10.4s
Ep 139	 reward -14.689	 ms 205.7	 loss 0.093074	 10.7s
Ep 140	 reward -14.768	 ms 206.8	 loss 0.076571	 10.1s
Ep 141	 reward -14.504	 ms 203.1	 loss 0.193147	 10.4s
Ep 142	 reward -14.468	 ms 202.6	 loss 0.217912	 9.8s
Ep 143	 reward -14.532	 ms 203.4	 loss 0.011811	 10.2s
Ep 144	 reward -14.425	 ms 201.9	 loss 0.083300	 11.2s
Ep 145	 reward -14.529	 ms 203.4	 loss 0.103001	 10.2s
Ep 146	 reward -14.461	 ms 202.4	 loss 0.110215	 10.4s
Ep 147	 reward -14.450	 ms 202.3	 loss 0.083743	 10.7s
Ep 148	 reward -14.454	 ms 202.3	 loss 0.060916	 9.9s
Ep 149	 reward -14.321	 ms 200.5	 loss 0.031847	 10.6s
[vali @150] rel=0.8716 (best 0.8691)  N=131.0  L=210.9  S=192.0  W=152.2  LS=269.1  LW=220.7
Ep 150	 reward -14.568	 ms 203.9	 loss 0.095354	 47.8s
Ep 151	 reward -14.446	 ms 202.2	 loss 0.047530	 10.2s
Ep 152	 reward -14.514	 ms 203.2	 loss 0.040606	 10.1s
Ep 153	 reward -14.507	 ms 203.1	 loss 0.085928	 10.7s
Ep 154	 reward -14.507	 ms 203.1	 loss 0.080766	 10.8s
Ep 155	 reward -14.482	 ms 202.8	 loss 0.081589	 11.1s
Ep 156	 reward -14.479	 ms 202.7	 loss 0.114582	 10.7s
Ep 157	 reward -14.475	 ms 202.7	 loss 0.132720	 10.5s
Ep 158	 reward -14.532	 ms 203.4	 loss 0.070750	 10.5s
Ep 159	 reward -14.525	 ms 203.3	 loss 0.054823	 10.4s
Ep 160	 reward -14.457	 ms 202.4	 loss 0.068364	 10.8s
Ep 161	 reward -14.782	 ms 206.9	 loss 0.258588	 10.7s
Ep 162	 reward -14.746	 ms 206.4	 loss 0.137515	 10.8s
Ep 163	 reward -14.800	 ms 207.2	 loss 0.260056	 10.6s
Ep 164	 reward -14.746	 ms 206.4	 loss 0.193203	 10.4s
Ep 165	 reward -14.718	 ms 206.1	 loss 0.197437	 10.1s
Ep 166	 reward -14.657	 ms 205.2	 loss 0.151937	 10.1s
Ep 167	 reward -14.650	 ms 205.1	 loss 0.173991	 10.4s
Ep 168	 reward -14.832	 ms 207.7	 loss 0.288572	 10.1s
Ep 169	 reward -14.746	 ms 206.4	 loss 0.140704	 10.5s
Ep 170	 reward -14.789	 ms 207.1	 loss 0.081626	 10.6s
Ep 171	 reward -14.721	 ms 206.1	 loss 0.025313	 10.3s
Ep 172	 reward -14.768	 ms 206.8	 loss 0.247216	 10.6s
Ep 173	 reward -14.707	 ms 205.9	 loss 0.019460	 10.5s
Ep 174	 reward -14.750	 ms 206.5	 loss 0.162714	 10.6s
[vali @175] rel=0.8681 (best 0.8681)  N=130.3  L=210.3  S=193.4  W=148.8  LS=267.8  LW=221.6
Ep 175	 reward -14.796	 ms 207.2	 loss 0.148227	 47.3s
Ep 176	 reward -14.682	 ms 205.6	 loss 0.136013	 10.0s
Ep 177	 reward -14.761	 ms 206.7	 loss 0.018935	 10.0s
Ep 178	 reward -14.732	 ms 206.2	 loss 0.225058	 10.5s
Ep 179	 reward -14.707	 ms 205.9	 loss 0.088949	 10.7s
Ep 180	 reward -14.625	 ms 204.8	 loss -0.038510	 10.6s
Ep 181	 reward -14.350	 ms 200.9	 loss 0.208332	 10.8s
Ep 182	 reward -14.239	 ms 199.3	 loss 0.040352	 10.9s
Ep 183	 reward -14.257	 ms 199.6	 loss 0.098459	 10.4s
Ep 184	 reward -14.150	 ms 198.1	 loss -0.005637	 10.7s
Ep 185	 reward -14.136	 ms 197.9	 loss -0.010287	 10.4s
Ep 186	 reward -14.171	 ms 198.4	 loss 0.138138	 10.9s
Ep 187	 reward -14.286	 ms 200.0	 loss -0.018807	 10.4s
Ep 188	 reward -14.246	 ms 199.4	 loss 0.072639	 10.6s
Ep 189	 reward -14.189	 ms 198.7	 loss -0.011698	 10.8s
Ep 190	 reward -14.250	 ms 199.5	 loss 0.013902	 10.3s
Ep 191	 reward -14.336	 ms 200.7	 loss 0.268129	 9.9s
Ep 192	 reward -14.275	 ms 199.8	 loss 0.088399	 10.3s
Ep 193	 reward -14.104	 ms 197.4	 loss -0.017497	 10.1s
Ep 194	 reward -14.168	 ms 198.3	 loss 0.092314	 10.5s
Ep 195	 reward -14.107	 ms 197.5	 loss 0.299674	 10.4s
Ep 196	 reward -14.196	 ms 198.8	 loss 0.109703	 10.1s
Ep 197	 reward -14.232	 ms 199.2	 loss 0.101428	 10.5s
Ep 198	 reward -14.261	 ms 199.7	 loss -0.003399	 10.4s
Ep 199	 reward -14.225	 ms 199.2	 loss 0.020724	 10.0s
[vali @200] rel=0.8720 (best 0.8681)  N=130.8  L=210.2  S=192.9  W=152.6  LS=268.6  LW=221.5
Ep 200	 reward -14.204	 ms 198.8	 loss 0.229947	 47.0s
Ep 201	 reward -14.000	 ms 196.0	 loss 0.096525	 10.1s
Ep 202	 reward -14.014	 ms 196.2	 loss 0.156772	 9.9s
Ep 203	 reward -14.011	 ms 196.2	 loss 0.160055	 10.6s
Ep 204	 reward -13.993	 ms 195.9	 loss -0.064185	 10.5s
Ep 205	 reward -13.989	 ms 195.8	 loss 0.044280	 10.1s
Ep 206	 reward -14.036	 ms 196.5	 loss -0.020100	 10.1s
Ep 207	 reward -14.039	 ms 196.6	 loss -0.008995	 10.5s
Ep 208	 reward -14.054	 ms 196.8	 loss 0.042738	 10.3s
Ep 209	 reward -13.971	 ms 195.6	 loss 0.027276	 10.6s
Ep 210	 reward -13.925	 ms 194.9	 loss -0.000381	 10.6s
Ep 211	 reward -13.957	 ms 195.4	 loss 0.004802	 10.5s
Ep 212	 reward -14.007	 ms 196.1	 loss 0.097776	 10.8s
Ep 213	 reward -13.975	 ms 195.7	 loss -0.041258	 10.3s
Ep 214	 reward -13.911	 ms 194.8	 loss 0.064976	 10.1s
Ep 215	 reward -14.079	 ms 197.1	 loss -0.031044	 10.0s
Ep 216	 reward -14.039	 ms 196.6	 loss 0.017995	 10.2s
Ep 217	 reward -13.925	 ms 194.9	 loss 0.006498	 10.1s
Ep 218	 reward -14.011	 ms 196.2	 loss -0.013352	 10.2s
Ep 219	 reward -14.043	 ms 196.6	 loss 0.014460	 10.9s
Ep 220	 reward -14.082	 ms 197.2	 loss -0.013239	 10.4s
Ep 221	 reward -14.079	 ms 197.1	 loss 0.139238	 10.7s
Ep 222	 reward -14.007	 ms 196.1	 loss 0.006893	 10.7s
Ep 223	 reward -13.957	 ms 195.4	 loss 0.007778	 10.6s
Ep 224	 reward -13.993	 ms 195.9	 loss 0.086322	 10.2s
[vali @225] rel=0.8714 (best 0.8681)  N=131.9  L=209.9  S=192.9  W=149.9  LS=269.0  LW=222.4
Ep 225	 reward -14.096	 ms 197.3	 loss 0.045721	 46.6s
Ep 226	 reward -13.946	 ms 195.2	 loss -0.008614	 10.3s
Ep 227	 reward -14.018	 ms 196.2	 loss 0.130947	 11.1s
Ep 228	 reward -14.004	 ms 196.1	 loss -0.001943	 10.8s
Ep 229	 reward -13.989	 ms 195.8	 loss 0.023224	 10.8s
Ep 230	 reward -13.975	 ms 195.7	 loss 0.038167	 10.8s
Ep 231	 reward -14.075	 ms 197.1	 loss 0.066926	 10.5s
Ep 232	 reward -13.993	 ms 195.9	 loss 0.076491	 11.0s
Ep 233	 reward -14.025	 ms 196.3	 loss -0.010234	 10.5s
Ep 234	 reward -13.939	 ms 195.2	 loss 0.031495	 10.7s
Ep 235	 reward -14.014	 ms 196.2	 loss 0.058418	 10.3s
Ep 236	 reward -13.982	 ms 195.8	 loss -0.018842	 11.0s
Ep 237	 reward -14.021	 ms 196.3	 loss -0.004781	 10.6s
Ep 238	 reward -13.957	 ms 195.4	 loss -0.060984	 10.6s
Ep 239	 reward -14.029	 ms 196.4	 loss 0.039507	 10.2s
Ep 240	 reward -13.921	 ms 194.9	 loss -0.067517	 10.3s
Ep 241	 reward -14.443	 ms 202.2	 loss -0.015243	 9.9s
Ep 242	 reward -14.550	 ms 203.7	 loss -0.011669	 10.4s
Ep 243	 reward -14.464	 ms 202.5	 loss 0.035322	 10.7s
Ep 244	 reward -14.421	 ms 201.9	 loss -0.047832	 10.9s
Ep 245	 reward -14.479	 ms 202.7	 loss -0.078877	 11.0s
Ep 246	 reward -14.489	 ms 202.8	 loss -0.024431	 10.3s
Ep 247	 reward -14.436	 ms 202.1	 loss 0.047202	 10.2s
Ep 248	 reward -14.518	 ms 203.2	 loss -0.039171	 10.8s
Ep 249	 reward -14.411	 ms 201.8	 loss 0.153912	 10.4s
[vali @250] rel=0.8696 (best 0.8681)  N=130.2  L=210.7  S=194.2  W=149.3  LS=267.4  LW=222.3
Ep 250	 reward -14.461	 ms 202.4	 loss -0.056960	 47.5s
Ep 251	 reward -14.464	 ms 202.5	 loss -0.085295	 10.7s
Ep 252	 reward -14.529	 ms 203.4	 loss -0.068519	 10.1s
Ep 253	 reward -14.571	 ms 204.0	 loss -0.053324	 11.0s
Ep 254	 reward -14.500	 ms 203.0	 loss -0.063213	 10.8s
Ep 255	 reward -14.432	 ms 202.1	 loss 0.025990	 10.9s
Ep 256	 reward -14.521	 ms 203.3	 loss 0.069655	 10.7s
Ep 257	 reward -14.496	 ms 202.9	 loss -0.045320	 10.5s
Ep 258	 reward -14.468	 ms 202.6	 loss -0.107025	 10.7s
Ep 259	 reward -14.496	 ms 202.9	 loss -0.085048	 10.3s
Ep 260	 reward -14.536	 ms 203.5	 loss -0.121999	 10.5s
Ep 261	 reward -14.336	 ms 200.7	 loss 0.171117	 10.7s
Ep 262	 reward -14.311	 ms 200.3	 loss 0.021097	 11.1s
Ep 263	 reward -14.132	 ms 197.8	 loss -0.031867	 10.8s
Ep 264	 reward -14.164	 ms 198.3	 loss -0.019380	 9.8s
Ep 265	 reward -14.182	 ms 198.6	 loss 0.028197	 10.4s
Ep 266	 reward -14.232	 ms 199.2	 loss 0.159388	 9.7s
Ep 267	 reward -14.204	 ms 198.8	 loss 0.162092	 10.0s
Ep 268	 reward -14.161	 ms 198.2	 loss 0.034272	 10.4s
Ep 269	 reward -14.211	 ms 198.9	 loss 0.060126	 10.6s
Ep 270	 reward -14.139	 ms 197.9	 loss -0.012781	 10.8s
Ep 271	 reward -14.104	 ms 197.4	 loss -0.013116	 10.4s
Ep 272	 reward -14.161	 ms 198.2	 loss 0.173994	 10.4s
Ep 273	 reward -14.179	 ms 198.5	 loss 0.035680	 10.8s
Ep 274	 reward -14.321	 ms 200.5	 loss 0.016680	 10.4s
