[train_family] shaping envelope: delta_mode=min (admissible, tight (the paper's))
[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7  LS=304.4  LW=243.4
[model] params total=34322  film=0 (0.00%)
[train_family] model=10x25+family+joint-concat-s301 regimes=['N', 'L', 'S', 'W', 'LS', 'LW'] updates=2000
Ep 1	 reward -14.939	 ms 209.2	 loss 0.753345	 6.9s
Ep 2	 reward -14.746	 ms 206.4	 loss 0.725328	 5.8s
Ep 3	 reward -14.814	 ms 207.4	 loss 0.585962	 5.3s
Ep 4	 reward -14.829	 ms 207.6	 loss 0.628301	 5.1s
Ep 5	 reward -14.800	 ms 207.2	 loss 0.431203	 5.3s
Ep 6	 reward -14.879	 ms 208.3	 loss 0.611719	 5.1s
Ep 7	 reward -14.868	 ms 208.2	 loss 0.636176	 5.4s
Ep 8	 reward -14.996	 ms 209.9	 loss 0.613530	 5.3s
Ep 9	 reward -14.961	 ms 209.4	 loss 0.429371	 5.4s
Ep 10	 reward -15.004	 ms 210.1	 loss 0.399338	 5.3s
Ep 11	 reward -14.943	 ms 209.2	 loss 0.361065	 5.4s
Ep 12	 reward -15.014	 ms 210.2	 loss 0.295952	 5.3s
Ep 13	 reward -14.775	 ms 206.8	 loss 0.224735	 5.6s
Ep 14	 reward -14.879	 ms 208.3	 loss 0.217719	 5.5s
Ep 15	 reward -15.046	 ms 210.7	 loss 0.356009	 5.2s
Ep 16	 reward -14.807	 ms 207.3	 loss 0.279808	 5.2s
Ep 17	 reward -14.818	 ms 207.4	 loss 0.252710	 5.1s
Ep 18	 reward -14.993	 ms 209.9	 loss 0.275713	 5.6s
Ep 19	 reward -15.018	 ms 210.2	 loss 0.387128	 5.3s
Ep 20	 reward -14.825	 ms 207.6	 loss 0.223137	 5.2s
Ep 21	 reward -14.732	 ms 206.2	 loss 0.301465	 5.4s
Ep 22	 reward -14.850	 ms 207.9	 loss 0.268085	 5.5s
Ep 23	 reward -14.657	 ms 205.2	 loss 0.288036	 5.5s
Ep 24	 reward -14.821	 ms 207.5	 loss 0.292168	 5.6s
[vali @25] rel=0.8954 (best 0.8954)  N=137.5  L=214.0  S=194.9  W=159.9  LS=271.4  LW=226.6
Ep 25	 reward -14.646	 ms 205.1	 loss 0.259428	 22.9s
Ep 26	 reward -14.775	 ms 206.8	 loss 0.280684	 5.5s
Ep 27	 reward -14.832	 ms 207.7	 loss 0.256661	 5.4s
Ep 28	 reward -14.750	 ms 206.5	 loss 0.241249	 5.3s
Ep 29	 reward -14.761	 ms 206.7	 loss 0.233920	 5.5s
Ep 30	 reward -14.804	 ms 207.2	 loss 0.226244	 5.4s
Ep 31	 reward -14.693	 ms 205.7	 loss 0.242501	 5.4s
Ep 32	 reward -14.775	 ms 206.8	 loss 0.301649	 5.5s
Ep 33	 reward -14.475	 ms 202.7	 loss 0.224445	 5.4s
Ep 34	 reward -14.804	 ms 207.2	 loss 0.284402	 5.4s
Ep 35	 reward -14.593	 ms 204.3	 loss 0.242570	 5.6s
Ep 36	 reward -14.679	 ms 205.5	 loss 0.182193	 5.9s
Ep 37	 reward -14.636	 ms 204.9	 loss 0.157071	 5.9s
Ep 38	 reward -14.579	 ms 204.1	 loss 0.198339	 6.8s
Ep 39	 reward -14.471	 ms 202.6	 loss 0.208758	 6.6s
Ep 40	 reward -14.425	 ms 201.9	 loss 0.217228	 6.7s
Ep 41	 reward -14.475	 ms 202.7	 loss 0.238699	 6.5s
Ep 42	 reward -14.614	 ms 204.6	 loss 0.198956	 6.5s
Ep 43	 reward -14.607	 ms 204.5	 loss 0.260478	 6.6s
Ep 44	 reward -14.379	 ms 201.3	 loss 0.353554	 6.4s
Ep 45	 reward -14.596	 ms 204.3	 loss 0.313630	 6.6s
Ep 46	 reward -14.796	 ms 207.2	 loss 0.333084	 6.4s
Ep 47	 reward -14.579	 ms 204.1	 loss 0.363920	 6.6s
Ep 48	 reward -14.571	 ms 204.0	 loss 0.344902	 6.5s
Ep 49	 reward -14.450	 ms 202.3	 loss 0.297181	 6.4s
[vali @50] rel=0.8937 (best 0.8937)  N=136.7  L=218.1  S=195.9  W=156.7  LS=271.6  LW=224.4
Ep 50	 reward -14.511	 ms 203.2	 loss 0.360095	 29.7s
Ep 51	 reward -14.554	 ms 203.8	 loss 0.388444	 6.4s
Ep 52	 reward -14.493	 ms 202.9	 loss 0.341195	 6.6s
Ep 53	 reward -14.646	 ms 205.1	 loss 0.362069	 6.3s
Ep 54	 reward -14.493	 ms 202.9	 loss 0.311793	 6.4s
Ep 55	 reward -14.321	 ms 200.5	 loss 0.318654	 6.4s
Ep 56	 reward -14.561	 ms 203.8	 loss 0.204250	 6.5s
Ep 57	 reward -14.443	 ms 202.2	 loss 0.271331	 6.5s
Ep 58	 reward -14.486	 ms 202.8	 loss 0.322969	 6.1s
Ep 59	 reward -14.554	 ms 203.8	 loss 0.344220	 5.9s
Ep 60	 reward -14.400	 ms 201.6	 loss 0.262745	 5.7s
Ep 61	 reward -14.657	 ms 205.2	 loss 0.050920	 5.6s
Ep 62	 reward -14.586	 ms 204.2	 loss 0.040755	 6.0s
Ep 63	 reward -14.721	 ms 206.1	 loss 0.113566	 6.4s
Ep 64	 reward -14.600	 ms 204.4	 loss -0.030160	 6.4s
Ep 65	 reward -14.496	 ms 202.9	 loss 0.080392	 6.4s
Ep 66	 reward -14.704	 ms 205.8	 loss 0.022815	 6.5s
Ep 67	 reward -14.764	 ms 206.7	 loss -0.006997	 8.0s
Ep 68	 reward -14.732	 ms 206.2	 loss 0.010026	 6.5s
Ep 69	 reward -14.668	 ms 205.3	 loss 0.001595	 6.5s
Ep 70	 reward -14.875	 ms 208.2	 loss 0.061744	 6.5s
Ep 71	 reward -14.850	 ms 207.9	 loss 0.028120	 6.8s
Ep 72	 reward -14.675	 ms 205.4	 loss -0.031318	 6.5s
Ep 73	 reward -14.900	 ms 208.6	 loss 0.020057	 6.5s
Ep 74	 reward -14.600	 ms 204.4	 loss 0.064756	 6.5s
[vali @75] rel=0.8856 (best 0.8856)  N=135.2  L=213.7  S=194.8  W=154.2  LS=270.8  LW=224.8
Ep 75	 reward -14.596	 ms 204.3	 loss 0.062698	 31.2s
Ep 76	 reward -14.704	 ms 205.8	 loss 0.037229	 6.4s
Ep 77	 reward -14.464	 ms 202.5	 loss -0.031146	 6.7s
Ep 78	 reward -14.650	 ms 205.1	 loss 0.015068	 6.5s
Ep 79	 reward -14.607	 ms 204.5	 loss 0.063068	 6.7s
Ep 80	 reward -14.618	 ms 204.7	 loss -0.040179	 6.5s
Ep 81	 reward -14.650	 ms 205.1	 loss 0.151598	 6.5s
Ep 82	 reward -14.482	 ms 202.8	 loss 0.127638	 6.4s
Ep 83	 reward -14.671	 ms 205.4	 loss 0.051485	 6.2s
Ep 84	 reward -14.614	 ms 204.6	 loss 0.207512	 6.0s
Ep 85	 reward -14.739	 ms 206.3	 loss 0.035352	 5.9s
Ep 86	 reward -14.614	 ms 204.6	 loss 0.124599	 5.7s
Ep 87	 reward -14.711	 ms 205.9	 loss 0.107319	 6.0s
Ep 88	 reward -14.479	 ms 202.7	 loss 0.163517	 6.8s
Ep 89	 reward -14.568	 ms 203.9	 loss 0.029754	 6.6s
Ep 90	 reward -14.607	 ms 204.5	 loss 0.058766	 6.5s
Ep 91	 reward -14.579	 ms 204.1	 loss 0.132613	 6.7s
Ep 92	 reward -14.454	 ms 202.3	 loss 0.113242	 6.5s
Ep 93	 reward -14.625	 ms 204.8	 loss 0.125427	 6.4s
Ep 94	 reward -14.643	 ms 205.0	 loss -0.025591	 6.7s
Ep 95	 reward -14.629	 ms 204.8	 loss 0.094838	 6.7s
Ep 96	 reward -14.529	 ms 203.4	 loss 0.054676	 6.5s
Ep 97	 reward -14.521	 ms 203.3	 loss 0.161762	 6.4s
Ep 98	 reward -14.493	 ms 202.9	 loss 0.162277	 6.9s
Ep 99	 reward -14.593	 ms 204.3	 loss 0.128138	 6.5s
[vali @100] rel=0.8839 (best 0.8839)  N=133.3  L=212.5  S=195.8  W=154.1  LS=271.3  LW=225.2
Ep 100	 reward -14.536	 ms 203.5	 loss -0.033062	 30.6s
Ep 101	 reward -14.700	 ms 205.8	 loss 0.189096	 6.7s
Ep 102	 reward -14.829	 ms 207.6	 loss 0.099611	 6.5s
Ep 103	 reward -14.818	 ms 207.4	 loss 0.072856	 6.7s
Ep 104	 reward -14.682	 ms 205.6	 loss 0.078502	 6.5s
Ep 105	 reward -14.793	 ms 207.1	 loss 0.086785	 6.7s
