[train_family] forcing data_source=FAMILY
[train_family] shaping envelope: delta_mode=min (admissible, tight (the paper's))
[vali] MWKR norms: W=177.7
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-W-third-s303 regimes=['W'] updates=333
Ep 81	 reward -11.282	 ms 157.9	 loss 0.061747	 9.6s
Ep 82	 reward -11.264	 ms 157.7	 loss 0.084156	 9.9s
Ep 83	 reward -11.261	 ms 157.7	 loss 0.026761	 9.6s
Ep 84	 reward -11.193	 ms 156.7	 loss 0.104658	 9.8s
Ep 85	 reward -11.346	 ms 158.8	 loss 0.010616	 9.5s
Ep 86	 reward -11.257	 ms 157.6	 loss 0.091067	 9.3s
Ep 87	 reward -11.268	 ms 157.8	 loss 0.075537	 8.6s
Ep 88	 reward -11.239	 ms 157.3	 loss 0.045886	 9.1s
Ep 89	 reward -11.243	 ms 157.4	 loss 0.076789	 9.3s
Ep 90	 reward -11.104	 ms 155.4	 loss -0.029469	 9.6s
Ep 91	 reward -11.182	 ms 156.6	 loss 0.020295	 10.1s
Ep 92	 reward -11.107	 ms 155.5	 loss 0.126541	 10.2s
Ep 93	 reward -11.007	 ms 154.1	 loss -0.040752	 9.6s
Ep 94	 reward -11.057	 ms 154.8	 loss 0.022556	 9.6s
Ep 95	 reward -11.146	 ms 156.1	 loss 0.038422	 9.5s
Ep 96	 reward -11.039	 ms 154.6	 loss 0.090829	 8.7s
Ep 97	 reward -11.154	 ms 156.2	 loss 0.084886	 8.9s
Ep 98	 reward -11.114	 ms 155.6	 loss 0.005949	 9.5s
Ep 99	 reward -11.096	 ms 155.3	 loss 0.005685	 9.7s
[vali @100] rel=0.8379 (best 0.8379)  W=148.8
Ep 100	 reward -11.161	 ms 156.2	 loss 0.026296	 17.6s
Ep 101	 reward -10.993	 ms 153.9	 loss -0.041400	 9.3s
Ep 102	 reward -11.032	 ms 154.4	 loss 0.067082	 8.5s
Ep 103	 reward -10.861	 ms 152.1	 loss -0.038374	 9.0s
Ep 104	 reward -10.971	 ms 153.6	 loss -0.058242	 9.7s
Ep 105	 reward -11.004	 ms 154.1	 loss -0.008361	 9.6s
Ep 106	 reward -10.914	 ms 152.8	 loss 0.036910	 9.9s
Ep 107	 reward -11.054	 ms 154.8	 loss 0.152322	 10.1s
Ep 108	 reward -11.096	 ms 155.3	 loss 0.062673	 9.8s
Ep 109	 reward -10.968	 ms 153.6	 loss -0.003393	 9.9s
Ep 110	 reward -11.061	 ms 154.8	 loss -0.018012	 9.7s
Ep 111	 reward -10.950	 ms 153.3	 loss -0.014838	 9.9s
Ep 112	 reward -10.864	 ms 152.1	 loss 0.035892	 8.5s
Ep 113	 reward -10.821	 ms 151.5	 loss -0.050849	 9.0s
Ep 114	 reward -11.061	 ms 154.8	 loss 0.147546	 9.5s
