[train_family] shaping envelope: delta_mode=zero (admissible, loose)
[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7  LS=304.4  LW=243.4
[model] params total=71838  film=39052 (54.36%)
[train_family] model=10x25+family+joint-deltazero-s301 regimes=['N', 'L', 'S', 'W', 'LS', 'LW'] updates=2000
Ep 1	 reward -14.932	 ms 209.1	 loss 1.041453	 6.8s
Ep 2	 reward -14.829	 ms 207.6	 loss 0.871383	 6.4s
Ep 3	 reward -14.975	 ms 209.7	 loss 0.943792	 6.0s
Ep 4	 reward -14.936	 ms 209.1	 loss 0.826567	 5.7s
Ep 5	 reward -14.764	 ms 206.7	 loss 0.776446	 5.8s
Ep 6	 reward -14.804	 ms 207.2	 loss 0.810059	 6.7s
Ep 7	 reward -14.900	 ms 208.6	 loss 0.591345	 6.9s
Ep 8	 reward -14.843	 ms 207.8	 loss 0.459264	 7.1s
Ep 9	 reward -14.636	 ms 204.9	 loss 0.488283	 7.8s
Ep 10	 reward -14.821	 ms 207.5	 loss 0.462422	 8.1s
Ep 11	 reward -14.675	 ms 205.4	 loss 0.259223	 8.5s
Ep 12	 reward -14.582	 ms 204.2	 loss 0.315039	 9.6s
Ep 13	 reward -14.561	 ms 203.8	 loss 0.218237	 9.5s
Ep 14	 reward -14.586	 ms 204.2	 loss 0.187264	 10.1s
Ep 15	 reward -14.779	 ms 206.9	 loss 0.195838	 9.7s
Ep 16	 reward -14.671	 ms 205.4	 loss 0.160457	 9.4s
Ep 17	 reward -14.504	 ms 203.1	 loss 0.261097	 10.2s
Ep 18	 reward -14.693	 ms 205.7	 loss 0.265070	 10.0s
Ep 19	 reward -14.593	 ms 204.3	 loss 0.158581	 9.8s
Ep 20	 reward -14.754	 ms 206.6	 loss 0.191206	 9.8s
Ep 21	 reward -14.457	 ms 202.4	 loss 0.222286	 10.3s
Ep 22	 reward -14.532	 ms 203.4	 loss 0.229630	 10.2s
Ep 23	 reward -14.543	 ms 203.6	 loss 0.225869	 9.6s
Ep 24	 reward -14.629	 ms 204.8	 loss 0.149095	 10.1s
[vali @25] rel=0.8924 (best 0.8924)  N=138.3  L=217.2  S=194.4  W=154.7  LS=269.1  LW=227.2
Ep 25	 reward -14.486	 ms 202.8	 loss 0.131750	 45.9s
Ep 26	 reward -14.479	 ms 202.7	 loss 0.083275	 9.9s
Ep 27	 reward -14.407	 ms 201.7	 loss 0.145306	 9.3s
Ep 28	 reward -14.343	 ms 200.8	 loss 0.164653	 9.5s
Ep 29	 reward -14.468	 ms 202.6	 loss 0.182803	 9.2s
Ep 30	 reward -14.468	 ms 202.6	 loss 0.202873	 9.0s
Ep 31	 reward -14.518	 ms 203.2	 loss 0.202784	 9.5s
Ep 32	 reward -14.579	 ms 204.1	 loss 0.171522	 8.9s
Ep 33	 reward -14.586	 ms 204.2	 loss 0.189259	 8.3s
Ep 34	 reward -14.650	 ms 205.1	 loss 0.160527	 8.7s
Ep 35	 reward -14.514	 ms 203.2	 loss 0.135238	 9.4s
Ep 36	 reward -14.571	 ms 204.0	 loss 0.183224	 8.9s
Ep 37	 reward -14.493	 ms 202.9	 loss 0.129610	 10.0s
Ep 38	 reward -14.529	 ms 203.4	 loss 0.142577	 10.3s
Ep 39	 reward -14.457	 ms 202.4	 loss 0.054195	 10.6s
Ep 40	 reward -14.529	 ms 203.4	 loss 0.179332	 10.6s
Ep 41	 reward -14.518	 ms 203.2	 loss 0.176456	 10.6s
Ep 42	 reward -14.389	 ms 201.4	 loss 0.231941	 11.0s
Ep 43	 reward -14.604	 ms 204.4	 loss 0.224747	 10.3s
Ep 44	 reward -14.375	 ms 201.2	 loss 0.201537	 10.7s
Ep 45	 reward -14.404	 ms 201.7	 loss 0.297708	 10.5s
Ep 46	 reward -14.346	 ms 200.8	 loss 0.293923	 11.6s
Ep 47	 reward -14.382	 ms 201.3	 loss 0.179104	 10.5s
Ep 48	 reward -14.604	 ms 204.4	 loss 0.324768	 10.6s
Ep 49	 reward -14.389	 ms 201.4	 loss 0.301715	 10.5s
[vali @50] rel=0.9011 (best 0.8924)  N=140.4  L=212.6  S=197.4  W=164.2  LS=269.4  LW=225.1
Ep 50	 reward -14.504	 ms 203.1	 loss 0.309931	 52.5s
Ep 51	 reward -14.668	 ms 205.3	 loss 0.200129	 9.9s
Ep 52	 reward -14.729	 ms 206.2	 loss 0.335855	 10.6s
Ep 53	 reward -14.746	 ms 206.4	 loss 0.227250	 10.3s
Ep 54	 reward -14.657	 ms 205.2	 loss 0.240559	 10.4s
Ep 55	 reward -14.614	 ms 204.6	 loss 0.338166	 9.6s
Ep 56	 reward -14.500	 ms 203.0	 loss 0.273657	 9.6s
Ep 57	 reward -14.386	 ms 201.4	 loss 0.209527	 9.7s
Ep 58	 reward -14.421	 ms 201.9	 loss 0.282579	 9.2s
Ep 59	 reward -14.614	 ms 204.6	 loss 0.277894	 9.8s
Ep 60	 reward -14.586	 ms 204.2	 loss 0.195443	 8.9s
Ep 61	 reward -14.843	 ms 207.8	 loss 0.101719	 9.7s
Ep 62	 reward -14.786	 ms 207.0	 loss 0.086877	 10.1s
Ep 63	 reward -14.939	 ms 209.2	 loss 0.132719	 10.0s
Ep 64	 reward -14.746	 ms 206.4	 loss 0.060225	 11.0s
Ep 65	 reward -14.918	 ms 208.8	 loss 0.037333	 10.6s
Ep 66	 reward -14.793	 ms 207.1	 loss 0.131740	 11.0s
Ep 67	 reward -14.721	 ms 206.1	 loss 0.012405	 10.6s
Ep 68	 reward -14.771	 ms 206.8	 loss 0.129633	 10.2s
Ep 69	 reward -14.814	 ms 207.4	 loss 0.131106	 10.7s
Ep 70	 reward -14.743	 ms 206.4	 loss 0.142525	 10.5s
Ep 71	 reward -14.843	 ms 207.8	 loss 0.201951	 10.6s
Ep 72	 reward -14.779	 ms 206.9	 loss 0.075690	 10.3s
Ep 73	 reward -14.775	 ms 206.8	 loss 0.100742	 10.9s
Ep 74	 reward -14.711	 ms 205.9	 loss 0.066971	 10.8s
[vali @75] rel=0.8920 (best 0.8920)  N=137.8  L=214.3  S=195.5  W=158.8  LS=269.1  LW=223.8
Ep 75	 reward -14.611	 ms 204.6	 loss 0.141745	 53.2s
Ep 76	 reward -14.625	 ms 204.8	 loss 0.134563	 10.6s
Ep 77	 reward -14.493	 ms 202.9	 loss 0.037098	 10.7s
Ep 78	 reward -14.679	 ms 205.5	 loss 0.092248	 9.9s
Ep 79	 reward -14.593	 ms 204.3	 loss 0.111643	 10.0s
Ep 80	 reward -14.793	 ms 207.1	 loss 0.017490	 9.5s
Ep 81	 reward -14.600	 ms 204.4	 loss 0.256353	 9.8s
Ep 82	 reward -14.593	 ms 204.3	 loss 0.241396	 9.7s
Ep 83	 reward -14.550	 ms 203.7	 loss -0.025730	 9.3s
Ep 84	 reward -14.489	 ms 202.8	 loss 0.124128	 9.7s
Ep 85	 reward -14.611	 ms 204.6	 loss 0.023904	 9.5s
Ep 86	 reward -14.529	 ms 203.4	 loss 0.097459	 10.0s
Ep 87	 reward -14.543	 ms 203.6	 loss 0.143973	 10.0s
Ep 88	 reward -14.646	 ms 205.1	 loss 0.056926	 10.2s
Ep 89	 reward -14.525	 ms 203.3	 loss 0.085489	 10.7s
Ep 90	 reward -14.561	 ms 203.8	 loss -0.003398	 10.6s
Ep 91	 reward -14.579	 ms 204.1	 loss 0.105821	 11.0s
Ep 92	 reward -14.646	 ms 205.1	 loss 0.075998	 10.4s
Ep 93	 reward -14.786	 ms 207.0	 loss 0.154371	 10.4s
Ep 94	 reward -14.736	 ms 206.3	 loss 0.078742	 10.7s
Ep 95	 reward -14.682	 ms 205.6	 loss 0.225931	 10.9s
Ep 96	 reward -14.729	 ms 206.2	 loss 0.250985	 10.7s
Ep 97	 reward -14.536	 ms 203.5	 loss 0.071025	 10.9s
Ep 98	 reward -14.536	 ms 203.5	 loss 0.102248	 10.1s
Ep 99	 reward -14.664	 ms 205.3	 loss 0.155994	 11.0s
[vali @100] rel=0.8981 (best 0.8920)  N=138.8  L=212.8  S=196.6  W=164.8  LS=269.9  LW=222.6
Ep 100	 reward -14.586	 ms 204.2	 loss 0.092614	 51.9s
Ep 101	 reward -15.043	 ms 210.6	 loss 0.143136	 10.5s
Ep 102	 reward -15.046	 ms 210.7	 loss 0.045672	 10.1s
Ep 103	 reward -14.879	 ms 208.3	 loss 0.061520	 10.6s
Ep 104	 reward -14.975	 ms 209.7	 loss 0.021835	 10.5s
Ep 105	 reward -14.993	 ms 209.9	 loss -0.024069	 10.5s
Ep 106	 reward -14.911	 ms 208.8	 loss -0.021684	 10.2s
Ep 107	 reward -15.061	 ms 210.8	 loss 0.047096	 9.5s
Ep 108	 reward -14.950	 ms 209.3	 loss -0.042688	 9.1s
Ep 109	 reward -15.000	 ms 210.0	 loss -0.003565	 9.3s
Ep 110	 reward -14.914	 ms 208.8	 loss -0.011125	 9.5s
Ep 111	 reward -14.836	 ms 207.7	 loss 0.011231	 9.7s
Ep 112	 reward -15.004	 ms 210.1	 loss 0.024836	 9.9s
Ep 113	 reward -14.954	 ms 209.3	 loss 0.016919	 10.4s
Ep 114	 reward -14.879	 ms 208.3	 loss -0.044962	 10.6s
Ep 115	 reward -14.925	 ms 208.9	 loss 0.105095	 10.7s
Ep 116	 reward -15.004	 ms 210.1	 loss 0.153381	 10.6s
Ep 117	 reward -14.779	 ms 206.9	 loss -0.090705	 10.9s
Ep 118	 reward -14.793	 ms 207.1	 loss -0.003412	 10.4s
Ep 119	 reward -14.975	 ms 209.7	 loss -0.028609	 10.1s
Ep 120	 reward -14.704	 ms 205.8	 loss -0.038577	 10.7s
Ep 121	 reward -14.704	 ms 205.8	 loss 0.146162	 10.9s
Ep 122	 reward -14.614	 ms 204.6	 loss 0.084471	 10.8s
Ep 123	 reward -14.564	 ms 203.9	 loss -0.002470	 10.5s
Ep 124	 reward -14.571	 ms 204.0	 loss 0.087810	 10.7s
[vali @125] rel=0.8833 (best 0.8833)  N=134.6  L=210.8  S=196.6  W=153.1  LS=271.2  LW=224.8
Ep 125	 reward -14.589	 ms 204.2	 loss 0.067007	 51.3s
Ep 126	 reward -14.679	 ms 205.5	 loss 0.075401	 10.7s
Ep 127	 reward -14.654	 ms 205.2	 loss 0.070241	 10.5s
Ep 128	 reward -14.721	 ms 206.1	 loss 0.092726	 10.4s
Ep 129	 reward -14.550	 ms 203.7	 loss 0.001928	 10.4s
Ep 130	 reward -14.643	 ms 205.0	 loss 0.047703	 10.3s
Ep 131	 reward -14.486	 ms 202.8	 loss 0.069596	 9.7s
Ep 132	 reward -14.539	 ms 203.6	 loss 0.030726	 8.9s
Ep 133	 reward -14.482	 ms 202.8	 loss 0.043361	 8.9s
Ep 134	 reward -14.493	 ms 202.9	 loss 0.023871	 9.1s
Ep 135	 reward -14.493	 ms 202.9	 loss 0.085578	 9.4s
Ep 136	 reward -14.532	 ms 203.4	 loss 0.081097	 9.9s
Ep 137	 reward -14.489	 ms 202.8	 loss 0.053097	 10.2s
Ep 138	 reward -14.450	 ms 202.3	 loss 0.107000	 9.9s
Ep 139	 reward -14.586	 ms 204.2	 loss 0.071866	 10.4s
Ep 140	 reward -14.418	 ms 201.8	 loss -0.034148	 10.7s
Ep 141	 reward -14.771	 ms 206.8	 loss 0.064194	 10.5s
Ep 142	 reward -14.643	 ms 205.0	 loss 0.032205	 10.7s
Ep 143	 reward -14.886	 ms 208.4	 loss 0.204556	 10.2s
Ep 144	 reward -14.743	 ms 206.4	 loss -0.027626	 10.3s
Ep 145	 reward -14.671	 ms 205.4	 loss 0.012379	 10.6s
Ep 146	 reward -14.796	 ms 207.2	 loss 0.154319	 11.1s
Ep 147	 reward -14.700	 ms 205.8	 loss 0.065079	 10.3s
Ep 148	 reward -14.696	 ms 205.8	 loss -0.031760	 10.3s
Ep 149	 reward -14.789	 ms 207.1	 loss 0.043692	 10.5s
[vali @150] rel=0.8763 (best 0.8763)  N=132.6  L=210.7  S=194.5  W=149.7  LS=271.7  LW=224.3
Ep 150	 reward -14.643	 ms 205.0	 loss 0.006079	 50.4s
Ep 151	 reward -14.771	 ms 206.8	 loss 0.062646	 10.9s
Ep 152	 reward -14.696	 ms 205.8	 loss -0.033058	 10.3s
Ep 153	 reward -14.686	 ms 205.6	 loss 0.171274	 10.5s
Ep 154	 reward -14.693	 ms 205.7	 loss 0.035888	 10.7s
Ep 155	 reward -14.621	 ms 204.7	 loss 0.197481	 9.9s
Ep 156	 reward -14.725	 ms 206.2	 loss 0.013971	 10.5s
Ep 157	 reward -14.632	 ms 204.8	 loss 0.149426	 9.5s
Ep 158	 reward -14.539	 ms 203.6	 loss 0.006436	 9.2s
Ep 159	 reward -14.736	 ms 206.3	 loss -0.026006	 9.3s
Ep 160	 reward -14.707	 ms 205.9	 loss -0.022822	 9.4s
Ep 161	 reward -14.586	 ms 204.2	 loss 0.248905	 9.8s
Ep 162	 reward -14.532	 ms 203.4	 loss 0.092998	 9.8s
Ep 163	 reward -14.529	 ms 203.4	 loss 0.280250	 10.1s
Ep 164	 reward -14.604	 ms 204.4	 loss 0.128777	 9.7s
Ep 165	 reward -14.393	 ms 201.5	 loss 0.180418	 10.7s
Ep 166	 reward -14.536	 ms 203.5	 loss 0.037821	 10.8s
Ep 167	 reward -14.536	 ms 203.5	 loss 0.173237	 10.6s
Ep 168	 reward -14.504	 ms 203.1	 loss 0.125156	 10.6s
Ep 169	 reward -14.564	 ms 203.9	 loss 0.046878	 10.1s
Ep 170	 reward -14.514	 ms 203.2	 loss 0.097961	 10.0s
Ep 171	 reward -14.546	 ms 203.7	 loss 0.268494	 10.6s
Ep 172	 reward -14.582	 ms 204.2	 loss 0.125672	 10.7s
Ep 173	 reward -14.543	 ms 203.6	 loss -0.058434	 11.2s
Ep 174	 reward -14.536	 ms 203.5	 loss -0.055900	 10.4s
[vali @175] rel=0.8756 (best 0.8756)  N=131.2  L=211.9  S=194.8  W=149.8  LS=272.6  LW=222.8
Ep 175	 reward -14.521	 ms 203.3	 loss 0.005246	 50.6s
Ep 176	 reward -14.579	 ms 204.1	 loss 0.080456	 10.5s
Ep 177	 reward -14.429	 ms 202.0	 loss -0.104375	 10.7s
Ep 178	 reward -14.450	 ms 202.3	 loss 0.226366	 10.5s
Ep 179	 reward -14.507	 ms 203.1	 loss 0.033277	 10.4s
Ep 180	 reward -14.486	 ms 202.8	 loss 0.106910	 11.1s
Ep 181	 reward -14.182	 ms 198.6	 loss 0.110797	 10.0s
Ep 182	 reward -14.196	 ms 198.8	 loss 0.203442	 9.8s
Ep 183	 reward -14.186	 ms 198.6	 loss 0.146833	 8.9s
Ep 184	 reward -14.186	 ms 198.6	 loss 0.195385	 9.7s
Ep 185	 reward -14.114	 ms 197.6	 loss 0.135601	 8.9s
Ep 186	 reward -14.179	 ms 198.5	 loss 0.158995	 9.3s
Ep 187	 reward -14.193	 ms 198.7	 loss 0.187127	 9.6s
Ep 188	 reward -14.157	 ms 198.2	 loss 0.114813	 9.9s
Ep 189	 reward -14.132	 ms 197.8	 loss 0.217472	 10.4s
Ep 190	 reward -14.161	 ms 198.2	 loss 0.140138	 10.7s
Ep 191	 reward -14.175	 ms 198.4	 loss 0.180629	 10.8s
Ep 192	 reward -14.175	 ms 198.4	 loss 0.243197	 10.5s
Ep 193	 reward -14.129	 ms 197.8	 loss 0.216047	 10.7s
Ep 194	 reward -14.182	 ms 198.6	 loss 0.207654	 10.5s
Ep 195	 reward -14.186	 ms 198.6	 loss 0.078336	 10.3s
Ep 196	 reward -14.164	 ms 198.3	 loss 0.063425	 10.6s
Ep 197	 reward -14.171	 ms 198.4	 loss 0.092721	 10.6s
Ep 198	 reward -14.186	 ms 198.6	 loss 0.193831	 10.6s
Ep 199	 reward -14.154	 ms 198.2	 loss 0.230580	 10.6s
[vali @200] rel=0.8755 (best 0.8755)  N=132.6  L=211.1  S=192.8  W=149.3  LS=272.2  LW=224.3
Ep 200	 reward -14.204	 ms 198.8	 loss 0.031402	 50.3s
Ep 201	 reward -14.425	 ms 201.9	 loss 0.027719	 10.4s
Ep 202	 reward -14.311	 ms 200.3	 loss 0.174398	 10.5s
Ep 203	 reward -14.364	 ms 201.1	 loss 0.035644	 10.3s
Ep 204	 reward -14.300	 ms 200.2	 loss 0.142831	 10.3s
Ep 205	 reward -14.339	 ms 200.8	 loss 0.110509	 10.3s
Ep 206	 reward -14.364	 ms 201.1	 loss 0.002791	 10.5s
Ep 207	 reward -14.511	 ms 203.2	 loss 0.058065	 9.8s
