[vali] MWKR norms: L=226.9
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+spec-L-s302 regimes=['L'] updates=1000
Ep 1	 reward -16.407	 ms 229.7	 loss 0.183849	 10.9s
Ep 2	 reward -16.514	 ms 231.2	 loss 0.034058	 10.2s
Ep 3	 reward -16.311	 ms 228.3	 loss 0.043114	 9.1s
Ep 4	 reward -16.361	 ms 229.1	 loss 0.131634	 8.4s
Ep 5	 reward -16.521	 ms 231.3	 loss 0.231979	 10.3s
Ep 6	 reward -16.225	 ms 227.2	 loss 0.129025	 10.5s
Ep 7	 reward -16.436	 ms 230.1	 loss 0.195196	 9.9s
Ep 8	 reward -16.346	 ms 228.8	 loss 0.197983	 9.7s
Ep 9	 reward -16.518	 ms 231.2	 loss 0.264836	 9.2s
Ep 10	 reward -16.129	 ms 225.8	 loss 0.246888	 10.5s
Ep 11	 reward -16.429	 ms 230.0	 loss 0.194232	 11.2s
Ep 12	 reward -16.207	 ms 226.9	 loss 0.095295	 11.3s
Ep 13	 reward -16.404	 ms 229.7	 loss 0.190633	 10.5s
Ep 14	 reward -16.400	 ms 229.6	 loss 0.201964	 9.6s
Ep 15	 reward -16.261	 ms 227.7	 loss 0.073743	 11.0s
Ep 16	 reward -16.200	 ms 226.8	 loss 0.210158	 11.4s
Ep 17	 reward -16.325	 ms 228.6	 loss 0.211280	 10.2s
Ep 18	 reward -16.289	 ms 228.1	 loss 0.181878	 10.5s
Ep 19	 reward -16.325	 ms 228.6	 loss 0.090276	 10.0s
Ep 20	 reward -16.189	 ms 226.7	 loss 0.136709	 10.8s
Ep 21	 reward -16.164	 ms 226.3	 loss 0.211506	 11.5s
Ep 22	 reward -16.189	 ms 226.7	 loss 0.229076	 11.3s
Ep 23	 reward -16.175	 ms 226.4	 loss 0.213601	 9.9s
Ep 24	 reward -16.025	 ms 224.3	 loss 0.259735	 9.8s
[vali @25] rel=0.9511 (best 0.9511)  L=215.8
Ep 25	 reward -16.118	 ms 225.7	 loss 0.098818	 17.6s
Ep 26	 reward -15.993	 ms 223.9	 loss 0.133957	 10.9s
Ep 27	 reward -16.150	 ms 226.1	 loss 0.091447	 10.9s
Ep 28	 reward -16.246	 ms 227.4	 loss 0.258135	 11.5s
Ep 29	 reward -16.146	 ms 226.1	 loss 0.264073	 11.1s
Ep 30	 reward -16.029	 ms 224.4	 loss 0.217736	 12.4s
Ep 31	 reward -16.218	 ms 227.1	 loss 0.226241	 11.9s
Ep 32	 reward -16.111	 ms 225.6	 loss 0.239787	 11.5s
Ep 33	 reward -15.964	 ms 223.5	 loss 0.183063	 11.6s
Ep 34	 reward -15.879	 ms 222.3	 loss 0.147476	 11.3s
Ep 35	 reward -15.879	 ms 222.3	 loss 0.153598	 11.6s
Ep 36	 reward -15.979	 ms 223.7	 loss 0.128926	 10.9s
Ep 37	 reward -15.946	 ms 223.2	 loss 0.216629	 11.2s
Ep 38	 reward -15.943	 ms 223.2	 loss 0.179350	 11.8s
Ep 39	 reward -15.946	 ms 223.2	 loss 0.176033	 11.2s
Ep 40	 reward -15.929	 ms 223.0	 loss 0.119522	 11.5s
Ep 41	 reward -15.950	 ms 223.3	 loss 0.063444	 11.5s
Ep 42	 reward -15.814	 ms 221.4	 loss 0.148235	 11.2s
Ep 43	 reward -15.921	 ms 222.9	 loss 0.159603	 11.5s
Ep 44	 reward -15.821	 ms 221.5	 loss 0.172076	 11.6s
Ep 45	 reward -15.911	 ms 222.8	 loss 0.206081	 11.2s
Ep 46	 reward -15.900	 ms 222.6	 loss 0.064332	 10.3s
Ep 47	 reward -15.925	 ms 222.9	 loss 0.260446	 11.3s
Ep 48	 reward -15.882	 ms 222.3	 loss 0.195746	 11.5s
Ep 49	 reward -15.846	 ms 221.8	 loss 0.116229	 11.1s
[vali @50] rel=0.9396 (best 0.9396)  L=213.2
Ep 50	 reward -15.807	 ms 221.3	 loss 0.208543	 18.8s
Ep 51	 reward -15.779	 ms 220.9	 loss 0.188222	 11.2s
Ep 52	 reward -15.732	 ms 220.2	 loss 0.141689	 11.5s
Ep 53	 reward -15.871	 ms 222.2	 loss 0.052749	 11.1s
Ep 54	 reward -15.775	 ms 220.8	 loss 0.131839	 11.5s
Ep 55	 reward -15.714	 ms 220.0	 loss 0.179305	 11.6s
Ep 56	 reward -15.843	 ms 221.8	 loss 0.114609	 11.3s
Ep 57	 reward -15.682	 ms 219.6	 loss 0.180906	 10.9s
Ep 58	 reward -15.814	 ms 221.4	 loss 0.140334	 11.4s
