[vali] MWKR norms: N=156.6  L=226.9  S=235.3  W=177.7  LS=304.4  LW=243.4
[model] params total=32786  film=0 (0.00%)
[train_family] model=10x25+family+jointblind-v1-s303 regimes=['N', 'L', 'S', 'W', 'LS', 'LW'] updates=2000
Ep 79	 reward -15.075	 ms 211.1	 loss 0.257587	 9.2s
Ep 80	 reward -15.096	 ms 211.3	 loss 0.302684	 9.1s
Ep 81	 reward -15.293	 ms 214.1	 loss 0.313347	 9.6s
Ep 82	 reward -15.268	 ms 213.8	 loss 0.135768	 9.0s
Ep 83	 reward -15.239	 ms 213.3	 loss 0.227768	 9.0s
Ep 84	 reward -15.339	 ms 214.8	 loss 0.207858	 9.8s
Ep 85	 reward -15.411	 ms 215.8	 loss 0.166505	 9.1s
Ep 86	 reward -15.468	 ms 216.6	 loss 0.177948	 9.3s
Ep 87	 reward -15.500	 ms 217.0	 loss 0.181996	 8.8s
Ep 88	 reward -15.382	 ms 215.3	 loss 0.318992	 8.8s
Ep 89	 reward -15.418	 ms 215.8	 loss 0.208713	 8.6s
Ep 90	 reward -15.450	 ms 216.3	 loss 0.323003	 8.6s
Ep 91	 reward -15.311	 ms 214.3	 loss 0.238360	 9.1s
Ep 92	 reward -15.279	 ms 213.9	 loss 0.228979	 9.5s
Ep 93	 reward -15.339	 ms 214.8	 loss 0.386639	 8.8s
Ep 94	 reward -15.286	 ms 214.0	 loss 0.378759	 9.0s
Ep 95	 reward -15.418	 ms 215.8	 loss 0.299942	 8.8s
Ep 96	 reward -15.129	 ms 211.8	 loss 0.286689	 8.8s
Ep 97	 reward -15.189	 ms 212.7	 loss 0.222431	 8.4s
Ep 98	 reward -15.211	 ms 212.9	 loss 0.272373	 8.4s
Ep 99	 reward -15.271	 ms 213.8	 loss 0.168937	 8.6s
[vali @100] rel=0.8838 (best 0.8820)  N=134.7  L=211.6  S=196.1  W=154.4  LS=271.7  LW=222.8
Ep 100	 reward -15.193	 ms 212.7	 loss 0.267134	 39.2s
Ep 101	 reward -14.761	 ms 206.7	 loss 0.082155	 9.5s
Ep 102	 reward -14.568	 ms 203.9	 loss 0.256974	 8.9s
